codigo snies del programa,año,semestre,graduados
3.0,2009.0,2,27.0
4.0,2009.0,2,14.0
5.0,2009.0,2,42.0
6.0,2009.0,2,6.0
7.0,2009.0,2,81.0
8.0,2009.0,2,25.0
9.0,2009.0,2,95.0
10.0,2009.0,2,56.0
11.0,2009.0,2,47.0
12.0,2009.0,2,15.0
13.0,2009.0,2,31.0
14.0,2009.0,2,44.0
15.0,2009.0,2,23.0
16.0,2009.0,2,30.0
17.0,2009.0,2,15.0
18.0,2009.0,2,66.0
19.0,2009.0,2,65.0
20.0,2009.0,2,10.0
21.0,2009.0,2,10.0
22.0,2009.0,2,11.0
23.0,2009.0,2,13.0
24.0,2009.0,2,7.0
25.0,2009.0,2,16.0
26.0,2009.0,2,29.0
27.0,2009.0,2,18.0
28.0,2009.0,2,22.0
29.0,2009.0,2,27.0
30.0,2009.0,2,32.0
31.0,2009.0,2,27.0
32.0,2009.0,2,13.0
33.0,2009.0,2,10.0
34.0,2009.0,2,20.0
35.0,2009.0,2,11.0
36.0,2009.0,2,42.0
37.0,2009.0,2,20.0
42.0,2009.0,2,13.0
48.0,2009.0,2,3.0
51.0,2009.0,2,8.0
63.0,2009.0,2,11.0
69.0,2009.0,2,15.0
70.0,2009.0,2,84.0
71.0,2009.0,2,8.0
74.0,2009.0,2,1.0
77.0,2009.0,2,2.0
79.0,2009.0,2,18.0
85.0,2009.0,2,10.0
86.0,2009.0,2,6.0
87.0,2009.0,2,1.0
88.0,2009.0,2,11.0
89.0,2009.0,2,10.0
90.0,2009.0,2,2.0
91.0,2009.0,2,3.0
92.0,2009.0,2,12.0
93.0,2009.0,2,3.0
94.0,2009.0,2,2.0
96.0,2009.0,2,8.0
97.0,2009.0,2,1.0
98.0,2009.0,2,1.0
99.0,2009.0,2,1.0
100.0,2009.0,2,5.0
101.0,2009.0,2,2.0
102.0,2009.0,2,4.0
103.0,2009.0,2,3.0
104.0,2009.0,2,5.0
105.0,2009.0,2,4.0
106.0,2009.0,2,6.0
107.0,2009.0,2,9.0
