codigo snies del programa,año,semestre,total
1.0,2000.0,1,347.0
2.0,2000.0,1,926.0
3.0,2000.0,1,337.0
4.0,2000.0,1,1498.0
5.0,2000.0,1,713.0
6.0,2000.0,1,674.0
7.0,2000.0,1,1576.0
9.0,2000.0,1,6324.0
10.0,2000.0,1,314.0
11.0,2000.0,1,865.0
12.0,2000.0,1,455.0
13.0,2000.0,1,474.0
14.0,2000.0,1,1917.0
15.0,2000.0,1,532.0
16.0,2000.0,1,279.0
17.0,2000.0,1,2085.0
18.0,2000.0,1,878.0
19.0,2000.0,1,1406.0
20.0,2000.0,1,196.0
21.0,2000.0,1,130.0
22.0,2000.0,1,111.0
23.0,2000.0,1,868.0
24.0,2000.0,1,184.0
25.0,2000.0,1,1370.0
26.0,2000.0,1,3062.0
27.0,2000.0,1,340.0
28.0,2000.0,1,1452.0
29.0,2000.0,1,1345.0
30.0,2000.0,1,1283.0
31.0,2000.0,1,673.0
32.0,2000.0,1,118.0
33.0,2000.0,1,200.0
34.0,2000.0,1,340.0
35.0,2000.0,1,177.0
36.0,2000.0,1,209.0
37.0,2000.0,1,313.0
100.0,2000.0,1,49.0
2497.0,2000.0,1,324.0
3100.0,2000.0,1,260.0
3102.0,2000.0,1,314.0
3103.0,2000.0,1,73.0
3140.0,2000.0,1,512.0
113.0,2000.0,1,95.0
114.0,2000.0,1,195.0
115.0,2000.0,1,101.0
116.0,2000.0,1,53.0
117.0,2000.0,1,639.0
118.0,2000.0,1,950.0
119.0,2000.0,1,314.0
120.0,2000.0,1,210.0
121.0,2000.0,1,455.0
122.0,2000.0,1,495.0
123.0,2000.0,1,321.0
124.0,2000.0,1,325.0
125.0,2000.0,1,622.0
126.0,2000.0,1,88.0
127.0,2000.0,1,583.0
128.0,2000.0,1,92.0
129.0,2000.0,1,39.0
133.0,2000.0,1,8.0
134.0,2000.0,1,13.0
137.0,2000.0,1,10.0
2500.0,2000.0,1,1.0
2501.0,2000.0,1,4.0
2706.0,2000.0,1,10.0
3763.0,2000.0,1,15.0
4126.0,2000.0,1,151.0
143.0,2000.0,1,108.0
144.0,2000.0,1,39.0
145.0,2000.0,1,15.0
3104.0,2000.0,1,81.0
174.0,2000.0,1,30.0
175.0,2000.0,1,25.0
176.0,2000.0,1,68.0
177.0,2000.0,1,62.0
179.0,2000.0,1,1576.0
180.0,2000.0,1,148.0
181.0,2000.0,1,37.0
182.0,2000.0,1,81.0
186.0,2000.0,1,80.0
187.0,2000.0,1,95.0
188.0,2000.0,1,191.0
189.0,2000.0,1,140.0
190.0,2000.0,1,182.0
191.0,2000.0,1,107.0
192.0,2000.0,1,61.0
193.0,2000.0,1,113.0
195.0,2000.0,1,35.0
204.0,2000.0,1,11.0
2508.0,2000.0,1,144.0
2633.0,2000.0,1,137.0
2653.0,2000.0,1,148.0
2683.0,2000.0,1,263.0
2759.0,2000.0,1,63.0
2760.0,2000.0,1,173.0
2761.0,2000.0,1,120.0
2762.0,2000.0,1,41.0
2763.0,2000.0,1,94.0
2821.0,2000.0,1,148.0
3961.0,2000.0,1,45.0
4085.0,2000.0,1,70.0
4338.0,2000.0,1,131.0
4543.0,2000.0,1,24.0
5915.0,2000.0,1,20.0
7827.0,2000.0,1,81.0
7942.0,2000.0,1,55.0
10463.0,2000.0,1,30.0
10484.0,2000.0,1,24.0
208.0,2000.0,1,54.0
209.0,2000.0,1,19.0
210.0,2000.0,1,63.0
211.0,2000.0,1,77.0
212.0,2000.0,1,71.0
213.0,2000.0,1,114.0
3778.0,2000.0,1,75.0
223.0,2000.0,1,51.0
226.0,2000.0,1,32.0
228.0,2000.0,1,132.0
230.0,2000.0,1,90.0
231.0,2000.0,1,191.0
233.0,2000.0,1,122.0
234.0,2000.0,1,114.0
235.0,2000.0,1,108.0
236.0,2000.0,1,147.0
238.0,2000.0,1,163.0
239.0,2000.0,1,2.0
240.0,2000.0,1,8.0
241.0,2000.0,1,12.0
242.0,2000.0,1,12.0
243.0,2000.0,1,8.0
244.0,2000.0,1,12.0
246.0,2000.0,1,18.0
248.0,2000.0,1,21.0
3048.0,2000.0,1,102.0
3636.0,2000.0,1,124.0
3833.0,2000.0,1,175.0
4010.0,2000.0,1,85.0
4080.0,2000.0,1,55.0
4636.0,2000.0,1,25.0
5268.0,2000.0,1,53.0
5269.0,2000.0,1,132.0
7171.0,2000.0,1,102.0
7519.0,2000.0,1,79.0
7520.0,2000.0,1,93.0
8170.0,2000.0,1,69.0
8704.0,2000.0,1,69.0
257.0,2000.0,1,141.0
258.0,2000.0,1,84.0
259.0,2000.0,1,114.0
260.0,2000.0,1,107.0
262.0,2000.0,1,50.0
263.0,2000.0,1,50.0
265.0,2000.0,1,59.0
266.0,2000.0,1,60.0
267.0,2000.0,1,252.0
268.0,2000.0,1,64.0
