año,codigo snies del programa,graduados,id genero,semestre
2009,3,27,2,2
2009,4,14,2,2
2009,5,42,1,2
2009,6,6,2,2
2009,7,81,2,2
2009,8,25,1,2
2009,9,95,2,2
2009,10,56,2,2
2009,11,47,2,2
2009,12,15,2,2
2009,13,31,1,2
2009,14,44,1,2
2009,15,23,2,2
2009,16,30,1,2
2009,17,15,1,2
2009,18,66,2,2
2009,19,65,1,2
2009,20,10,2,2
2009,21,10,2,2
2009,22,11,1,2
2009,23,13,1,2
2009,24,7,1,2
2009,25,16,1,2
2009,26,29,1,2
2009,27,18,1,2
2009,28,22,2,2
2009,29,27,2,2
2009,30,32,2,2
2009,31,27,2,2
2009,32,13,2,2
2009,33,10,1,2
2009,34,20,1,2
2009,35,11,2,2
2009,36,42,2,2
2009,37,20,1,2
2009,42,13,2,2
2009,48,3,1,2
2009,51,8,2,2
2009,63,11,2,2
2009,69,15,1,2
2009,70,84,1,2
2009,71,8,1,2
2009,74,1,1,2
2009,77,2,1,2
2009,79,18,1,2
2009,85,10,1,2
2009,86,6,2,2
2009,87,1,2,2
2009,88,11,2,2
2009,89,10,2,2
2009,90,2,1,2
2009,91,3,1,2
2009,92,12,1,2
2009,93,3,2,2
2009,94,2,1,2
2009,96,8,1,2
2009,97,1,1,2
2009,98,1,1,2
2009,99,1,1,2
2009,100,5,1,2
2009,101,2,2,2
2009,102,4,2,2
2009,103,3,2,2
2009,104,5,1,2
2009,105,4,1,2
2009,106,6,1,2
2009,107,9,1,2
2009,108,16,1,2
2009,110,5,2,2
2009,111,7,2,2
2009,113,25,1,2
2009,114,7,2,2
2009,115,20,1,2
2009,116,1,1,2
2009,117,25,1,2
2009,118,5,1,2
2009,119,8,2,2
2009,120,5,2,2
2009,121,24,2,2
2009,122,15,2,2
2009,123,14,2,2
2009,124,1,1,2
2009,125,16,1,2
2009,126,2,2,2
2009,127,37,1,2
2009,128,8,1,2
2009,129,4,1,2
2009,135,1,1,2
2009,136,3,1,2
2009,137,6,1,2
2009,139,2,2,2
2009,140,4,1,2
2009,141,4,1,2
2009,142,1,1,2
2009,143,28,1,2
2009,144,16,1,2
2009,146,25,2,2
2009,147,34,2,2
2009,149,66,1,2
2009,150,72,1,2
2009,151,75,2,2
2009,152,60,1,2
2009,153,45,2,2
2009,154,52,1,2
2009,155,30,2,2
2009,156,35,1,2
2009,157,49,1,2
2009,158,46,1,2
2009,159,50,1,2
2009,161,86,2,2
2009,162,3,2,2
2009,163,11,1,2
2009,165,9,1,2
2009,166,30,1,2
2009,170,6,1,2
2009,172,10,2,2
2009,173,15,1,2
2009,174,2,2,2
2009,175,1,1,2
2009,176,3,1,2
2009,177,6,2,2
2009,178,32,1,2
2009,180,6,2,2
2009,181,3,1,2
2009,182,8,1,2
2009,188,10,2,2
2009,189,19,1,2
2009,190,5,1,2
2009,191,12,2,2
2009,192,8,2,2
2009,193,12,2,2
2009,195,36,2,2
2009,205,1,1,2
2009,207,1,1,2
2009,208,6,1,2
2009,210,10,1,2
2009,211,7,1,2
2009,212,9,2,2
2009,213,8,1,2
2009,215,15,1,2
2009,216,7,2,2
2009,217,8,1,2
2009,218,9,1,2
2009,222,9,1,2
2009,224,5,1,2
2009,225,1,1,2
2009,230,4,2,2
2009,231,26,2,2
2009,232,27,1,2
2009,233,50,1,2
2009,234,38,1,2
2009,235,9,1,2
2009,236,56,2,2
2009,238,15,2,2
2009,239,1,2,2
2009,240,2,2,2
2009,241,2,1,2
2009,242,1,1,2
2009,243,4,1,2
2009,244,3,2,2
2009,245,21,1,2
2009,246,2,1,2
2009,256,3,1,2
2009,257,50,1,2
2009,258,33,1,2
2009,259,4,1,2
2009,260,24,1,2
2009,263,11,2,2
2009,265,3,2,2
2009,266,15,2,2
2009,267,54,2,2
2009,268,26,1,2
2009,269,20,1,2
2009,270,67,2,2
2009,271,65,2,2
2009,272,49,1,2
2009,273,49,1,2
2009,275,52,2,2
2009,276,13,2,2
2009,278,1,1,2
2009,279,6,1,2
2009,280,29,1,2
2009,281,18,2,2
2009,282,7,2,2
2009,283,15,1,2
2009,284,7,2,2
2009,288,5,2,2
2009,289,3,1,2
2009,290,33,2,2
2009,291,30,2,2
2009,292,21,1,2
2009,293,5,2,2
2009,294,58,1,2
2009,295,4,1,2
2009,296,17,2,2
2009,298,1,1,2
2009,302,2,2,2
2009,305,4,2,2
2009,306,1,1,2
2009,310,8,1,2
2009,311,1,1,2
2009,313,1,1,2
2009,314,1,2,2
2009,320,116,1,2
2009,321,66,2,2
2009,325,41,2,2
2009,326,43,2,2
2009,327,38,2,2
2009,332,28,1,2
2009,337,30,2,2
2009,338,4,1,2
2009,340,2,1,2
2009,341,9,1,2
2009,342,8,1,2
2009,343,4,1,2
2009,344,1,2,2
2009,347,44,1,2
2009,351,3,2,2
2009,352,29,2,2
2009,354,1,1,2
2009,356,5,1,2
2009,357,6,1,2
2009,360,2,2,2
2009,361,68,1,2
2009,362,10,2,2
2009,363,97,2,2
2009,364,43,2,2
2009,365,18,1,2
2009,366,2,1,2
2009,368,1,1,2
2009,370,2,2,2
2009,372,1,2,2
2009,375,1,1,2
2009,380,2,2,2
2009,381,8,2,2
2009,382,1,1,2
2009,385,1,2,2
2009,386,1,2,2
2009,387,1,1,2
2009,389,1,2,2
2009,393,9,1,2
2009,395,4,1,2
2009,400,8,1,2
2009,401,54,2,2
2009,402,1,1,2
2009,403,40,2,2
2009,404,39,1,2
2009,405,29,1,2
2009,406,9,1,2
2009,407,2,2,2
2009,408,15,1,2
2009,409,8,1,2
2009,412,45,1,2
2009,413,67,2,2
2009,417,7,1,2
2009,420,5,2,2
2009,421,2,1,2
2009,425,2,2,2
2009,426,36,1,2
2009,427,150,2,2
2009,428,108,2,2
2009,429,55,1,2
2009,430,53,2,2
2009,431,33,2,2
2009,432,42,2,2
2009,433,8,1,2
2009,434,61,1,2
2009,435,43,2,2
2009,436,39,1,2
2009,437,72,2,2
2009,438,29,1,2
2009,439,34,1,2
2009,440,55,2,2
2009,441,17,2,2
2009,442,7,1,2
2009,444,48,1,2
2009,445,30,2,2
2009,446,35,2,2
2009,447,60,1,2
2009,448,36,2,2
2009,450,58,1,2
2009,451,32,1,2
2009,452,25,2,2
2009,453,5,2,2
2009,454,3,1,2
2009,455,19,1,2
2009,456,69,2,2
2009,458,6,1,2
2009,460,2,2,2
2009,462,6,2,2
2009,463,2,1,2
2009,464,8,2,2
2009,465,2,1,2
2009,466,1,1,2
2009,467,2,2,2
2009,468,3,1,2
2009,469,3,1,2
2009,470,2,2,2
2009,471,2,2,2
2009,472,8,1,2
2009,473,5,2,2
2009,474,4,1,2
2009,476,1,1,2
2009,477,1,1,2
2009,479,3,1,2
2009,481,6,2,2
2009,482,3,1,2
2009,483,1,1,2
2009,484,6,1,2
2009,486,6,1,2
2009,490,1,2,2
2009,494,1,1,2
