admitidos,año,codigo snies del programa,id genero,semestre
91,2014,1,2,2
55,2014,2,2,2
60,2014,3,1,2
31,2014,4,2,2
47,2014,5,1,2
29,2014,6,1,2
108,2014,7,2,2
57,2014,8,2,2
134,2014,9,2,2
56,2014,10,2,2
60,2014,11,1,2
48,2014,13,2,2
86,2014,14,2,2
51,2014,15,1,2
58,2014,16,2,2
84,2014,17,2,2
92,2014,18,2,2
81,2014,19,2,2
47,2014,20,1,2
96,2014,23,1,2
71,2014,24,1,2
119,2014,25,2,2
92,2014,26,1,2
67,2014,27,2,2
88,2014,28,2,2
137,2014,29,1,2
72,2014,30,2,2
62,2014,31,2,2
62,2014,32,2,2
68,2014,33,2,2
38,2014,34,2,2
50,2014,35,1,2
76,2014,36,2,2
76,2014,37,1,2
2,2014,40,2,2
6,2014,48,2,2
41,2014,69,2,2
10,2014,79,2,2
13,2014,80,1,2
25,2014,86,2,2
20,2014,89,1,2
14,2014,90,1,2
13,2014,91,2,2
11,2014,92,1,2
13,2014,93,2,2
17,2014,95,1,2
16,2014,96,2,2
11,2014,98,1,2
20,2014,100,2,2
15,2014,101,2,2
31,2014,103,1,2
31,2014,104,1,2
26,2014,105,2,2
8,2014,107,1,2
14,2014,108,2,2
6,2014,110,1,2
8,2014,111,2,2
7,2014,112,1,2
51,2014,113,1,2
41,2014,114,1,2
52,2014,115,1,2
92,2014,116,2,2
96,2014,117,1,2
74,2014,118,2,2
59,2014,119,1,2
71,2014,120,1,2
65,2014,121,2,2
75,2014,122,1,2
96,2014,123,1,2
82,2014,124,1,2
59,2014,125,2,2
73,2014,126,2,2
56,2014,127,2,2
37,2014,128,1,2
48,2014,129,1,2
6,2014,132,2,2
18,2014,135,1,2
19,2014,136,1,2
15,2014,137,2,2
4,2014,142,2,2
62,2014,143,1,2
52,2014,144,2,2
44,2014,146,2,2
46,2014,147,1,2
63,2014,149,2,2
61,2014,150,1,2
87,2014,151,2,2
52,2014,153,2,2
50,2014,154,1,2
43,2014,155,1,2
60,2014,156,1,2
79,2014,157,2,2
78,2014,158,1,2
72,2014,159,2,2
29,2014,165,2,2
24,2014,173,1,2
20,2014,174,1,2
52,2014,177,2,2
53,2014,178,1,2
47,2014,180,2,2
48,2014,181,2,2
43,2014,182,1,2
132,2014,189,1,2
58,2014,190,1,2
61,2014,191,2,2
63,2014,192,2,2
65,2014,193,1,2
32,2014,195,1,2
14,2014,197,2,2
8,2014,207,2,2
51,2014,210,2,2
67,2014,212,2,2
45,2014,213,2,2
41,2014,215,1,2
49,2014,217,2,2
44,2014,218,1,2
38,2014,219,1,2
24,2014,224,2,2
42,2014,229,1,2
48,2014,230,1,2
206,2014,233,2,2
51,2014,234,1,2
47,2014,235,2,2
89,2014,236,2,2
83,2014,238,1,2
117,2014,257,2,2
113,2014,258,2,2
91,2014,267,1,2
118,2014,268,1,2
186,2014,269,2,2
109,2014,270,2,2
312,2014,271,1,2
118,2014,272,1,2
124,2014,273,2,2
18,2014,275,2,2
1,2014,276,2,2
33,2014,279,1,2
62,2014,281,2,2
59,2014,288,1,2
59,2014,289,2,2
62,2014,290,2,2
56,2014,291,1,2
68,2014,292,1,2
64,2014,293,2,2
70,2014,294,2,2
10,2014,295,1,2
61,2014,296,1,2
72,2014,320,2,2
57,2014,321,2,2
41,2014,325,1,2
88,2014,326,2,2
169,2014,327,1,2
55,2014,332,1,2
56,2014,337,1,2
56,2014,338,2,2
102,2014,340,2,2
46,2014,341,1,2
47,2014,342,1,2
6,2014,343,1,2
115,2014,347,2,2
28,2014,351,2,2
144,2014,352,2,2
204,2014,361,2,2
75,2014,362,1,2
104,2014,363,2,2
130,2014,364,1,2
195,2014,365,1,2
1,2014,368,1,2
2,2014,382,1,2
1,2014,384,1,2
1,2014,385,2,2
25,2014,395,2,2
30,2014,400,1,2
66,2014,401,2,2
65,2014,403,2,2
66,2014,404,2,2
29,2014,405,2,2
23,2014,407,2,2
18,2014,408,1,2
46,2014,412,2,2
34,2014,413,1,2
15,2014,417,1,2
17,2014,420,2,2
29,2014,426,2,2
69,2014,427,1,2
36,2014,429,1,2
54,2014,430,2,2
73,2014,431,2,2
28,2014,432,2,2
61,2014,434,2,2
61,2014,435,1,2
69,2014,436,2,2
115,2014,437,1,2
82,2014,438,1,2
83,2014,439,2,2
84,2014,440,2,2
13,2014,441,2,2
63,2014,442,1,2
100,2014,444,1,2
96,2014,445,1,2
98,2014,446,1,2
114,2014,448,2,2
108,2014,450,1,2
92,2014,451,1,2
56,2014,452,2,2
53,2014,453,2,2
93,2014,454,1,2
127,2014,455,2,2
68,2014,456,2,2
7,2014,458,1,2
3,2014,460,1,2
7,2014,462,2,2
3,2014,463,2,2
12,2014,464,1,2
3,2014,466,1,2
4,2014,467,2,2
3,2014,468,2,2
4,2014,469,1,2
4,2014,471,2,2
15,2014,472,2,2
7,2014,473,1,2
5,2014,474,2,2
1,2014,476,1,2
2,2014,477,1,2
52,2014,478,2,2
4,2014,479,1,2
9,2014,481,1,2
9,2014,484,1,2
3,2014,485,1,2
31,2014,494,1,2
6,2014,515,1,2
12,2014,516,2,2
4,2014,517,2,2
11,2014,519,2,2
22,2014,522,1,2
28,2014,523,2,2
55,2014,530,1,2
224,2014,531,2,2
112,2014,532,2,2
123,2014,535,1,2
121,2014,536,1,2
123,2014,537,2,2
111,2014,538,2,2
64,2014,539,1,2
114,2014,540,2,2
1,2014,541,1,2
47,2014,549,2,2
14,2014,551,2,2
44,2014,555,1,2
36,2014,565,2,2
40,2014,566,2,2
32,2014,568,2,2
37,2014,569,2,2
37,2014,571,2,2
42,2014,572,2,2
46,2014,576,1,2
43,2014,577,1,2
55,2014,578,2,2
49,2014,579,1,2
40,2014,580,2,2
33,2014,581,2,2
48,2014,591,1,2
48,2014,596,1,2
5,2014,677,2,2
231,2014,683,2,2
38,2014,684,1,2
21,2014,685,1,2
43,2014,687,1,2
15,2014,689,1,2
18,2014,690,1,2
32,2014,691,1,2
10,2014,692,1,2
9,2014,693,2,2
4,2014,694,1,2
151,2014,696,2,2
66,2014,697,2,2
16,2014,698,1,2
117,2014,699,2,2
153,2014,700,1,2
147,2014,701,1,2
57,2014,702,1,2
137,2014,703,2,2
10,2014,704,1,2
15,2014,705,1,2
49,2014,706,1,2
46,2014,707,1,2
5,2014,717,1,2
47,2014,736,1,2
70,2014,737,2,2
47,2014,738,2,2
42,2014,739,2,2
108,2014,740,1,2
49,2014,741,2,2
102,2014,742,1,2
22,2014,744,2,2
31,2014,745,2,2
34,2014,746,2,2
52,2014,747,2,2
36,2014,748,2,2
6,2014,749,1,2
12,2014,750,2,2
5,2014,753,1,2
3,2014,754,2,2
2,2014,755,2,2
7,2014,756,2,2
157,2014,760,2,2
6,2014,762,1,2
66,2014,766,2,2
61,2014,770,2,2
14,2014,771,2,2
1,2014,774,1,2
49,2014,779,1,2
108,2014,786,2,2
53,2014,788,1,2
51,2014,790,1,2
127,2014,791,1,2
60,2014,799,2,2
45,2014,800,1,2
61,2014,801,2,2
38,2014,803,2,2
53,2014,805,1,2
52,2014,808,2,2
126,2014,809,2,2
48,2014,810,2,2
50,2014,811,1,2
10,2014,817,2,2
52,2014,818,1,2
38,2014,819,2,2
150,2014,827,1,2
34,2014,829,1,2
98,2014,834,1,2
58,2014,835,2,2
65,2014,839,2,2
44,2014,842,1,2
56,2014,843,1,2
40,2014,852,2,2
102,2014,855,1,2
63,2014,856,2,2
58,2014,857,1,2
130,2014,866,1,2
76,2014,870,1,2
35,2014,873,2,2
101,2014,882,2,2
98,2014,884,2,2
78,2014,885,2,2
46,2014,889,2,2
10,2014,895,1,2
29,2014,902,1,2
95,2014,904,2,2
35,2014,906,1,2
29,2014,907,2,2
36,2014,908,2,2
99,2014,910,1,2
64,2014,913,2,2
40,2014,914,2,2
106,2014,915,2,2
118,2014,916,2,2
168,2014,917,1,2
158,2014,918,1,2
169,2014,919,1,2
164,2014,920,2,2
87,2014,921,2,2
178,2014,925,2,2
56,2014,926,1,2
7,2014,933,1,2
101,2014,935,1,2
39,2014,936,2,2
19,2014,937,1,2
3,2014,943,2,2
62,2014,944,2,2
67,2014,946,2,2
73,2014,947,2,2
26,2014,948,2,2
273,2014,949,2,2
154,2014,950,2,2
238,2014,951,2,2
168,2014,952,1,2
315,2014,953,1,2
71,2014,954,2,2
37,2014,955,2,2
27,2014,956,2,2
21,2014,957,2,2
64,2014,958,1,2
155,2014,959,2,2
80,2014,960,1,2
319,2014,961,1,2
198,2014,962,2,2
64,2014,964,2,2
13,2014,965,2,2
68,2014,1039,2,2
174,2014,1040,2,2
19,2014,1041,2,2
33,2014,1042,2,2
35,2014,1043,1,2
115,2014,1044,2,2
52,2014,1046,2,2
29,2014,1047,1,2
4,2014,1050,2,2
83,2014,1053,2,2
35,2014,1054,1,2
39,2014,1056,2,2
44,2014,1059,2,2
17,2014,1060,1,2
43,2014,1061,2,2
25,2014,1062,1,2
14,2014,1063,2,2
6,2014,1074,2,2
4,2014,1077,1,2
56,2014,1078,1,2
42,2014,1079,2,2
131,2014,1080,2,2
86,2014,1081,1,2
6,2014,1082,2,2
82,2014,1083,2,2
107,2014,1084,1,2
35,2014,1085,2,2
56,2014,1086,1,2
10,2014,1088,1,2
11,2014,1091,1,2
7,2014,1092,1,2
12,2014,1094,1,2
16,2014,1096,2,2
82,2014,1097,1,2
77,2014,1098,1,2
14,2014,1099,1,2
7,2014,1101,1,2
16,2014,1102,1,2
73,2014,1103,1,2
39,2014,1104,1,2
11,2014,1106,1,2
80,2014,1110,2,2
15,2014,1111,2,2
272,2014,1112,1,2
37,2014,1113,2,2
146,2014,1114,1,2
84,2014,1115,1,2
48,2014,1116,1,2
14,2014,1117,1,2
72,2014,1120,1,2
16,2014,1121,1,2
71,2014,1125,2,2
63,2014,1126,2,2
23,2014,1130,2,2
29,2014,1131,2,2
33,2014,1138,2,2
84,2014,1143,1,2
92,2014,1144,2,2
70,2014,1145,1,2
105,2014,1146,2,2
68,2014,1147,2,2
28,2014,1148,1,2
15,2014,1149,2,2
37,2014,1150,2,2
45,2014,1151,1,2
31,2014,1152,2,2
4,2014,1153,2,2
17,2014,1155,2,2
7,2014,1156,1,2
24,2014,1158,2,2
10,2014,1166,1,2
148,2014,1169,2,2
249,2014,1170,2,2
23,2014,1172,2,2
169,2014,1173,2,2
223,2014,1174,1,2
68,2014,1175,2,2
35,2014,1176,2,2
34,2014,1178,2,2
59,2014,1179,2,2
28,2014,1180,1,2
2,2014,1185,2,2
3,2014,1191,2,2
81,2014,1192,1,2
29,2014,1193,2,2
57,2014,1195,2,2
45,2014,1196,2,2
12,2014,1197,1,2
7,2014,1199,2,2
26,2014,1200,1,2
11,2014,1201,2,2
30,2014,1202,1,2
27,2014,1203,2,2
4,2014,1204,2,2
122,2014,1205,2,2
1,2014,1206,2,2
2,2014,1207,2,2
4,2014,1208,2,2
5,2014,1210,2,2
2,2014,1211,1,2
3,2014,1212,2,2
4,2014,1213,2,2
3,2014,1214,2,2
4,2014,1216,1,2
2,2014,1218,2,2
1,2014,1220,1,2
6,2014,1224,1,2
55,2014,1227,1,2
8,2014,1228,2,2
5,2014,1229,2,2
36,2014,1236,2,2
180,2014,1237,2,2
139,2014,1238,2,2
93,2014,1239,2,2
145,2014,1240,2,2
10,2014,1241,2,2
38,2014,1242,2,2
176,2014,1244,2,2
420,2014,1245,2,2
33,2014,1246,2,2
93,2014,1247,1,2
67,2014,1248,2,2
45,2014,1249,1,2
84,2014,1250,2,2
24,2014,1251,2,2
64,2014,1252,2,2
83,2014,1254,1,2
22,2014,1256,1,2
13,2014,1258,2,2
4,2014,1259,2,2
12,2014,1261,2,2
14,2014,1264,2,2
62,2014,1265,1,2
13,2014,1266,1,2
19,2014,1267,2,2
42,2014,1268,1,2
180,2014,1269,2,2
98,2014,1270,1,2
86,2014,1271,1,2
153,2014,1272,2,2
62,2014,1273,2,2
31,2014,1274,2,2
25,2014,1275,1,2
125,2014,1276,1,2
57,2014,1277,1,2
6,2014,1279,1,2
5,2014,1280,1,2
57,2014,1281,2,2
62,2014,1283,1,2
24,2014,1284,2,2
21,2014,1285,2,2
117,2014,1291,2,2
71,2014,1293,2,2
24,2014,1294,2,2
249,2014,1295,2,2
24,2014,1296,1,2
378,2014,1297,2,2
110,2014,1298,2,2
198,2014,1299,1,2
10,2014,1300,2,2
5,2014,1301,2,2
1,2014,1302,1,2
5,2014,1303,1,2
2,2014,1304,1,2
4,2014,1305,2,2
6,2014,1307,2,2
1,2014,1309,1,2
2,2014,1310,2,2
7,2014,1315,2,2
175,2014,1323,2,2
14,2014,1324,2,2
41,2014,1325,1,2
20,2014,1326,1,2
20,2014,1328,1,2
40,2014,1329,2,2
35,2014,1330,1,2
26,2014,1331,2,2
17,2014,1332,2,2
161,2014,1335,2,2
100,2014,1336,2,2
76,2014,1337,1,2
154,2014,1338,1,2
42,2014,1339,2,2
39,2014,1340,2,2
22,2014,1347,1,2
69,2014,1348,1,2
27,2014,1349,1,2
87,2014,1350,2,2
75,2014,1361,2,2
7,2014,1363,1,2
12,2014,1365,2,2
4,2014,1371,1,2
2,2014,1372,1,2
188,2014,1380,2,2
358,2014,1381,1,2
283,2014,1383,1,2
44,2014,1384,2,2
160,2014,1385,1,2
287,2014,1386,2,2
11,2014,1387,1,2
15,2014,1389,2,2
56,2014,1394,1,2
58,2014,1395,2,2
65,2014,1396,2,2
47,2014,1399,1,2
37,2014,1402,2,2
57,2014,1403,2,2
57,2014,1409,2,2
16,2014,1412,2,2
32,2014,1415,2,2
646,2014,1422,1,2
216,2014,1425,2,2
209,2014,1426,1,2
166,2014,1430,1,2
18,2014,1431,1,2
15,2014,1432,1,2
132,2014,1433,2,2
20,2014,1434,2,2
22,2014,1439,2,2
61,2014,1441,1,2
63,2014,1442,2,2
88,2014,1444,1,2
13,2014,1445,2,2
117,2014,1446,2,2
8,2014,1447,1,2
46,2014,1448,1,2
160,2014,1450,2,2
126,2014,1451,2,2
17,2014,1455,1,2
28,2014,1464,2,2
71,2014,1466,1,2
350,2014,1475,1,2
114,2014,1476,1,2
115,2014,1477,1,2
293,2014,1483,2,2
86,2014,1485,1,2
121,2014,1487,1,2
64,2014,1488,2,2
77,2014,1489,1,2
69,2014,1490,2,2
40,2014,1491,2,2
121,2014,1492,2,2
357,2014,1493,1,2
221,2014,1494,2,2
33,2014,1496,2,2
63,2014,1497,2,2
81,2014,1498,1,2
82,2014,1499,1,2
91,2014,1503,2,2
40,2014,1504,2,2
267,2014,1512,2,2
20,2014,1513,2,2
142,2014,1514,2,2
185,2014,1516,2,2
15,2014,1520,1,2
1,2014,1522,2,2
63,2014,1527,1,2
44,2014,1529,1,2
41,2014,1531,2,2
141,2014,1532,1,2
202,2014,1533,1,2
133,2014,1534,1,2
149,2014,1535,2,2
166,2014,1536,2,2
17,2014,1537,1,2
48,2014,1538,2,2
145,2014,1539,2,2
78,2014,1540,1,2
14,2014,1541,1,2
298,2014,1542,2,2
129,2014,1543,2,2
127,2014,1544,2,2
57,2014,1545,2,2
38,2014,1546,1,2
25,2014,1547,1,2
16,2014,1548,1,2
41,2014,1550,1,2
31,2014,1551,1,2
36,2014,1552,1,2
43,2014,1555,1,2
38,2014,1561,1,2
20,2014,1569,2,2
19,2014,1573,1,2
34,2014,1574,1,2
193,2014,1575,1,2
36,2014,1576,2,2
55,2014,1578,2,2
6,2014,1579,1,2
6,2014,1580,1,2
17,2014,1581,2,2
5,2014,1582,1,2
3,2014,1585,1,2
5,2014,1587,1,2
28,2014,1591,2,2
132,2014,1592,1,2
41,2014,1593,1,2
