Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
114,2015,1,2,2
55,2015,2,2,2
54,2015,3,2,2
31,2015,4,1,2
50,2015,5,2,2
29,2015,6,1,2
98,2015,7,2,2
60,2015,8,1,2
133,2015,9,2,2
59,2015,10,2,2
61,2015,11,2,2
48,2015,13,1,2
71,2015,14,2,2
49,2015,15,2,2
58,2015,16,2,2
83,2015,17,2,2
97,2015,18,2,2
94,2015,19,1,2
51,2015,20,2,2
90,2015,23,1,2
79,2015,24,2,2
120,2015,25,2,2
105,2015,26,1,2
67,2015,27,1,2
85,2015,28,2,2
133,2015,29,2,2
78,2015,30,2,2
60,2015,31,2,2
61,2015,32,2,2
75,2015,33,1,2
32,2015,34,1,2
64,2015,35,1,2
73,2015,36,2,2
75,2015,37,1,2
6,2015,48,2,2
75,2015,69,1,2
39,2015,70,1,2
28,2015,71,2,2
9,2015,79,2,2
15,2015,80,1,2
30,2015,85,2,2
10,2015,86,1,2
21,2015,91,2,2
9,2015,92,2,2
19,2015,95,1,2
13,2015,96,2,2
8,2015,97,1,2
13,2015,98,2,2
11,2015,99,2,2
20,2015,100,2,2
16,2015,101,2,2
31,2015,104,2,2
24,2015,105,2,2
15,2015,107,2,2
22,2015,108,2,2
2,2015,110,2,2
4,2015,111,2,2
4,2015,112,1,2
56,2015,113,1,2
59,2015,114,2,2
66,2015,115,1,2
92,2015,116,2,2
88,2015,117,1,2
48,2015,118,2,2
58,2015,119,1,2
73,2015,120,2,2
55,2015,121,1,2
80,2015,122,1,2
93,2015,123,2,2
81,2015,124,2,2
53,2015,125,1,2
43,2015,126,2,2
60,2015,127,2,2
42,2015,128,2,2
54,2015,129,2,2
13,2015,131,2,2
8,2015,132,1,2
11,2015,135,1,2
14,2015,136,2,2
8,2015,137,2,2
3,2015,142,2,2
38,2015,143,1,2
31,2015,144,2,2
58,2015,146,2,2
38,2015,147,1,2
76,2015,149,2,2
71,2015,150,1,2
83,2015,151,2,2
55,2015,153,1,2
85,2015,154,2,2
42,2015,155,2,2
70,2015,156,2,2
94,2015,157,2,2
82,2015,158,2,2
89,2015,159,1,2
23,2015,165,2,2
11,2015,173,2,2
10,2015,174,1,2
47,2015,177,2,2
42,2015,178,1,2
43,2015,180,1,2
45,2015,181,2,2
42,2015,182,2,2
105,2015,189,2,2
96,2015,190,2,2
54,2015,191,2,2
55,2015,192,2,2
56,2015,193,2,2
9,2015,194,1,2
24,2015,195,2,2
13,2015,197,2,2
47,2015,210,2,2
58,2015,212,2,2
45,2015,213,2,2
36,2015,215,1,2
39,2015,216,2,2
37,2015,217,2,2
39,2015,218,1,2
45,2015,219,2,2
27,2015,224,2,2
44,2015,229,2,2
48,2015,230,1,2
203,2015,233,2,2
49,2015,234,2,2
48,2015,235,1,2
95,2015,236,1,2
75,2015,238,1,2
100,2015,257,1,2
104,2015,258,2,2
73,2015,267,2,2
107,2015,268,2,2
178,2015,269,2,2
106,2015,270,2,2
272,2015,271,1,2
94,2015,272,2,2
94,2015,273,1,2
23,2015,275,2,2
14,2015,278,2,2
64,2015,281,1,2
61,2015,288,1,2
46,2015,289,2,2
60,2015,290,1,2
63,2015,291,2,2
65,2015,292,2,2
58,2015,293,2,2
65,2015,294,2,2
5,2015,295,2,2
70,2015,296,2,2
25,2015,310,2,2
9,2015,311,1,2
11,2015,312,2,2
75,2015,320,2,2
47,2015,321,2,2
44,2015,325,1,2
74,2015,326,1,2
140,2015,327,2,2
54,2015,337,2,2
57,2015,338,1,2
107,2015,340,1,2
62,2015,341,2,2
49,2015,342,1,2
8,2015,343,2,2
14,2015,344,2,2
67,2015,347,2,2
36,2015,351,1,2
111,2015,352,2,2
215,2015,361,2,2
69,2015,362,2,2
