Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
137,2016,1,1,2
67,2016,2,2,2
59,2016,3,1,2
31,2016,4,2,2
50,2016,5,1,2
28,2016,6,1,2
114,2016,7,2,2
62,2016,8,1,2
133,2016,9,1,2
58,2016,10,1,2
64,2016,11,2,2
50,2016,13,1,2
85,2016,14,2,2
54,2016,15,1,2
58,2016,16,1,2
93,2016,17,1,2
89,2016,18,2,2
83,2016,19,1,2
50,2016,20,2,2
101,2016,23,1,2
107,2016,24,1,2
122,2016,25,2,2
108,2016,26,1,2
61,2016,27,1,2
88,2016,28,2,2
138,2016,29,2,2
81,2016,30,1,2
71,2016,31,2,2
62,2016,32,1,2
73,2016,33,1,2
37,2016,34,2,2
50,2016,35,1,2
76,2016,36,2,2
77,2016,37,1,2
6,2016,48,1,2
1,2016,65,1,2
39,2016,69,1,2
12,2016,79,2,2
15,2016,80,2,2
36,2016,85,1,2
5,2016,86,1,2
20,2016,89,1,2
22,2016,91,1,2
14,2016,92,2,2
22,2016,95,1,2
16,2016,96,2,2
8,2016,97,1,2
13,2016,98,2,2
21,2016,99,2,2
23,2016,100,1,2
20,2016,101,1,2
22,2016,104,2,2
23,2016,105,1,2
9,2016,107,2,2
19,2016,108,2,2
1,2016,110,1,2
4,2016,111,1,2
2,2016,112,1,2
83,2016,113,2,2
62,2016,114,2,2
66,2016,115,1,2
92,2016,116,2,2
92,2016,117,1,2
57,2016,118,2,2
55,2016,119,2,2
77,2016,120,1,2
53,2016,121,2,2
78,2016,122,1,2
92,2016,123,2,2
51,2016,124,2,2
59,2016,125,1,2
63,2016,126,2,2
62,2016,127,2,2
43,2016,128,1,2
72,2016,129,1,2
21,2016,132,1,2
17,2016,135,1,2
5,2016,136,1,2
20,2016,137,2,2
4,2016,141,1,2
3,2016,142,2,2
42,2016,143,1,2
40,2016,144,1,2
44,2016,146,1,2
40,2016,147,1,2
48,2016,149,1,2
80,2016,150,2,2
93,2016,151,1,2
77,2016,153,2,2
56,2016,154,2,2
31,2016,155,1,2
44,2016,156,1,2
94,2016,157,1,2
72,2016,158,1,2
85,2016,159,1,2
19,2016,165,1,2
48,2016,177,1,2
47,2016,178,2,2
55,2016,180,2,2
45,2016,181,2,2
44,2016,182,1,2
54,2016,188,1,2
124,2016,189,1,2
125,2016,190,1,2
71,2016,191,1,2
59,2016,192,1,2
64,2016,193,2,2
13,2016,194,1,2
22,2016,195,2,2
21,2016,197,1,2
53,2016,210,1,2
67,2016,212,1,2
50,2016,213,1,2
42,2016,215,2,2
44,2016,216,2,2
54,2016,217,1,2
50,2016,218,1,2
30,2016,219,2,2
30,2016,224,2,2
27,2016,225,1,2
