año,codigo snies del programa,admitidos,semestre
73,2018,3,1
35,2018,4,1
64,2018,5,1
33,2018,6,1
244,2018,7,1
150,2018,9,1
68,2018,10,1
102,2018,11,1
79,2018,12,1
52,2018,13,1
93,2018,14,1
60,2018,15,1
62,2018,16,1
119,2018,17,1
146,2018,18,1
151,2018,19,1
66,2018,20,1
73,2018,21,1
110,2018,23,1
137,2018,24,1
151,2018,25,1
71,2018,27,1
104,2018,28,1
162,2018,29,1
101,2018,30,1
95,2018,31,1
69,2018,32,1
104,2018,33,1
50,2018,34,1
66,2018,35,1
93,2018,36,1
64,2018,37,1
6,2018,38,1
3,2018,39,1
3,2018,40,1
2,2018,41,1
4,2018,45,1
9,2018,46,1
5,2018,48,1
2,2018,49,1
2,2018,50,1
8,2018,52,1
2,2018,53,1
10,2018,55,1
6,2018,57,1
4,2018,58,1
2,2018,59,1
2,2018,60,1
2,2018,61,1
8,2018,63,1
5,2018,64,1
1,2018,65,1
2,2018,66,1
5,2018,67,1
51,2018,69,1
109,2018,70,1
32,2018,71,1
7,2018,79,1
11,2018,80,1
8,2018,86,1
5,2018,87,1
9,2018,88,1
19,2018,89,1
13,2018,90,1
7,2018,92,1
16,2018,96,1
24,2018,103,1
9,2018,104,1
23,2018,105,1
23,2018,106,1
8,2018,107,1
24,2018,108,1
14,2018,109,1
3,2018,110,1
1,2018,111,1
6,2018,112,1
108,2018,113,1
78,2018,114,1
86,2018,115,1
99,2018,116,1
109,2018,117,1
70,2018,118,1
59,2018,119,1
84,2018,120,1
68,2018,121,1
92,2018,122,1
93,2018,123,1
76,2018,124,1
62,2018,125,1
69,2018,126,1
71,2018,127,1
45,2018,128,1
74,2018,129,1
12,2018,132,1
25,2018,134,1
9,2018,135,1
6,2018,136,1
12,2018,137,1
9,2018,139,1
12,2018,140,1
2,2018,142,1
95,2018,143,1
47,2018,144,1
57,2018,146,1
43,2018,147,1
105,2018,151,1
38,2018,155,1
71,2018,156,1
98,2018,157,1
84,2018,158,1
87,2018,159,1
5,2018,162,1
79,2018,169,1
41,2018,170,1
22,2018,172,1
12,2018,173,1
52,2018,176,1
74,2018,177,1
52,2018,178,1
53,2018,180,1
51,2018,181,1
1,2018,188,1
113,2018,189,1
112,2018,190,1
52,2018,191,1
51,2018,192,1
60,2018,193,1
12,2018,194,1
18,2018,195,1
27,2018,197,1
13,2018,204,1
9,2018,205,1
5,2018,207,1
53,2018,210,1
66,2018,212,1
54,2018,213,1
46,2018,215,1
52,2018,216,1
60,2018,217,1
45,2018,218,1
31,2018,222,1
11,2018,223,1
30,2018,224,1
25,2018,225,1
44,2018,229,1
43,2018,230,1
45,2018,232,1
181,2018,233,1
47,2018,234,1
49,2018,235,1
81,2018,236,1
60,2018,238,1
28,2018,245,1
14,2018,246,1
2,2018,252,1
105,2018,257,1
122,2018,258,1
123,2018,260,1
106,2018,263,1
57,2018,266,1
123,2018,267,1
177,2018,268,1
251,2018,269,1
105,2018,270,1
352,2018,271,1
136,2018,272,1
6,2018,275,1
34,2018,276,1
27,2018,279,1
69,2018,281,1
54,2018,282,1
64,2018,283,1
37,2018,284,1
64,2018,288,1
59,2018,289,1
69,2018,290,1
72,2018,291,1
69,2018,292,1
65,2018,293,1
65,2018,294,1
1,2018,295,1
74,2018,296,1
3,2018,297,1
2,2018,298,1
2,2018,300,1
3,2018,302,1
3,2018,303,1
4,2018,305,1
3,2018,306,1
3,2018,308,1
11,2018,311,1
11,2018,313,1
1,2018,316,1
129,2018,320,1
157,2018,325,1
58,2018,326,1
76,2018,327,1
55,2018,337,1
60,2018,338,1
109,2018,340,1
45,2018,341,1
56,2018,342,1
14,2018,343,1
49,2018,347,1
55,2018,351,1
161,2018,352,1
13,2018,354,1
245,2018,361,1
46,2018,362,1
123,2018,363,1
73,2018,364,1
173,2018,365,1
11,2018,366,1
1,2018,367,1
8,2018,368,1
1,2018,369,1
3,2018,370,1
1,2018,371,1
10,2018,372,1
4,2018,374,1
12,2018,375,1
2,2018,378,1
3,2018,379,1
3,2018,380,1
7,2018,382,1
5,2018,383,1
3,2018,384,1
15,2018,385,1
4,2018,386,1
3,2018,388,1
1,2018,389,1
3,2018,390,1
2,2018,391,1
1,2018,394,1
34,2018,395,1
40,2018,401,1
63,2018,403,1
64,2018,404,1
33,2018,405,1
4,2018,406,1
6,2018,407,1
45,2018,412,1
72,2018,413,1
40,2018,417,1
59,2018,426,1
60,2018,427,1
35,2018,429,1
56,2018,430,1
69,2018,431,1
31,2018,432,1
53,2018,434,1
65,2018,435,1
62,2018,436,1
149,2018,437,1
116,2018,438,1
103,2018,439,1
88,2018,440,1
59,2018,441,1
58,2018,442,1
99,2018,444,1
96,2018,445,1
88,2018,446,1
99,2018,448,1
115,2018,450,1
86,2018,451,1
57,2018,452,1
87,2018,453,1
108,2018,454,1
96,2018,455,1
52,2018,456,1
16,2018,494,1
8,2018,507,1
21,2018,510,1
11,2018,511,1
14,2018,513,1
9,2018,515,1
9,2018,516,1
10,2018,517,1
9,2018,519,1
3,2018,521,1
38,2018,522,1
32,2018,523,1
114,2018,530,1
354,2018,531,1
102,2018,532,1
249,2018,535,1
187,2018,536,1
201,2018,537,1
184,2018,538,1
78,2018,539,1
47,2018,549,1
17,2018,551,1
41,2018,557,1
56,2018,559,1
2,2018,566,1
120,2018,570,1
57,2018,573,1
68,2018,574,1
65,2018,575,1
1,2018,577,1
1,2018,578,1
57,2018,579,1
96,2018,580,1
91,2018,581,1
56,2018,582,1
37,2018,583,1
49,2018,584,1
46,2018,585,1
38,2018,586,1
36,2018,587,1
44,2018,588,1
36,2018,589,1
47,2018,591,1
76,2018,592,1
61,2018,593,1
37,2018,594,1
48,2018,595,1
52,2018,596,1
3,2018,601,1
1,2018,602,1
2,2018,609,1
1,2018,610,1
6,2018,611,1
1,2018,613,1
6,2018,615,1
2,2018,616,1
1,2018,618,1
5,2018,623,1
12,2018,626,1
7,2018,628,1
3,2018,640,1
5,2018,642,1
1,2018,643,1
2,2018,645,1
7,2018,658,1
4,2018,659,1
21,2018,660,1
5,2018,662,1
9,2018,664,1
5,2018,670,1
1,2018,672,1
2,2018,673,1
3,2018,674,1
3,2018,676,1
6,2018,677,1
87,2018,683,1
42,2018,684,1
33,2018,685,1
46,2018,687,1
49,2018,689,1
2,2018,690,1
115,2018,691,1
35,2018,692,1
50,2018,693,1
47,2018,694,1
155,2018,696,1
67,2018,697,1
82,2018,698,1
99,2018,699,1
144,2018,700,1
142,2018,701,1
59,2018,702,1
103,2018,703,1
49,2018,704,1
49,2018,705,1
53,2018,706,1
46,2018,707,1
3,2018,709,1
4,2018,710,1
5,2018,711,1
1,2018,712,1
2,2018,713,1
4,2018,714,1
4,2018,716,1
8,2018,728,1
1,2018,731,1
2,2018,732,1
2,2018,733,1
64,2018,736,1
122,2018,737,1
50,2018,738,1
54,2018,739,1
126,2018,740,1
73,2018,741,1
124,2018,742,1
29,2018,744,1
29,2018,745,1
38,2018,746,1
96,2018,747,1
58,2018,748,1
4,2018,761,1
28,2018,766,1
31,2018,770,1
2,2018,774,1
89,2018,777,1
76,2018,783,1
1,2018,786,1
158,2018,789,1
2,2018,790,1
100,2018,791,1
35,2018,794,1
72,2018,799,1
75,2018,800,1
73,2018,801,1
70,2018,803,1
6,2018,805,1
80,2018,807,1
68,2018,808,1
96,2018,809,1
68,2018,810,1
63,2018,811,1
57,2018,818,1
94,2018,819,1
258,2018,827,1
117,2018,831,1
201,2018,834,1
159,2018,835,1
71,2018,839,1
108,2018,842,1
44,2018,852,1
147,2018,855,1
81,2018,856,1
86,2018,857,1
35,2018,870,1
37,2018,873,1
35,2018,882,1
48,2018,884,1
49,2018,885,1
48,2018,889,1
8,2018,895,1
45,2018,898,1
43,2018,902,1
45,2018,906,1
39,2018,907,1
40,2018,908,1
93,2018,913,1
110,2018,915,1
91,2018,916,1
166,2018,917,1
178,2018,918,1
184,2018,919,1
179,2018,920,1
96,2018,921,1
142,2018,925,1
63,2018,926,1
3,2018,933,1
14,2018,936,1
8,2018,937,1
32,2018,943,1
100,2018,944,1
52,2018,946,1
62,2018,947,1
20,2018,948,1
238,2018,949,1
156,2018,950,1
218,2018,951,1
220,2018,952,1
458,2018,953,1
105,2018,954,1
32,2018,955,1
37,2018,956,1
42,2018,957,1
55,2018,958,1
236,2018,959,1
158,2018,960,1
305,2018,961,1
176,2018,962,1
61,2018,964,1
28,2018,965,1
6,2018,967,1
3,2018,969,1
2,2018,970,1
8,2018,971,1
8,2018,973,1
2,2018,974,1
2,2018,977,1
9,2018,978,1
3,2018,979,1
9,2018,980,1
6,2018,981,1
2,2018,982,1
2,2018,983,1
13,2018,985,1
3,2018,986,1
2,2018,988,1
5,2018,990,1
12,2018,991,1
13,2018,992,1
7,2018,994,1
1,2018,995,1
13,2018,998,1
10,2018,999,1
35,2018,1001,1
50,2018,1003,1
24,2018,1005,1
17,2018,1006,1
7,2018,1007,1
44,2018,1008,1
33,2018,1009,1
12,2018,1010,1
63,2018,1012,1
6,2018,1018,1
2,2018,1019,1
12,2018,1020,1
2,2018,1021,1
18,2018,1026,1
24,2018,1027,1
13,2018,1028,1
6,2018,1029,1
18,2018,1030,1
15,2018,1033,1
16,2018,1036,1
3,2018,1037,1
11,2018,1038,1
47,2018,1039,1
101,2018,1040,1
20,2018,1041,1
45,2018,1042,1
38,2018,1043,1
62,2018,1044,1
38,2018,1046,1
14,2018,1047,1
64,2018,1053,1
102,2018,1054,1
26,2018,1056,1
52,2018,1059,1
11,2018,1060,1
22,2018,1061,1
21,2018,1062,1
12,2018,1063,1
88,2018,1078,1
54,2018,1079,1
184,2018,1080,1
58,2018,1081,1
3,2018,1082,1
73,2018,1083,1
178,2018,1084,1
58,2018,1085,1
114,2018,1086,1
46,2018,1087,1
12,2018,1088,1
10,2018,1091,1
17,2018,1092,1
7,2018,1094,1
27,2018,1096,1
148,2018,1097,1
285,2018,1098,1
21,2018,1099,1
14,2018,1101,1
46,2018,1102,1
158,2018,1103,1
24,2018,1104,1
223,2018,1110,1
31,2018,1111,1
711,2018,1112,1
