año,codigo snies del programa,matriculados,semestre
2018,3,15,1
2018,4,35,1
2018,5,26,1
2018,6,23,1
2018,7,51,1
2018,8,8,1
2018,9,89,1
2018,10,34,1
2018,11,40,1
2018,12,20,1
2018,13,39,1
2018,14,51,1
2018,15,33,1
2018,16,35,1
2018,17,84,1
2018,18,76,1
2018,19,69,1
2018,20,26,1
2018,21,15,1
2018,22,25,1
2018,23,55,1
2018,24,18,1
2018,25,93,1
2018,26,54,1
2018,27,33,1
2018,28,42,1
2018,29,73,1
2018,30,27,1
2018,31,53,1
2018,32,25,1
2018,33,18,1
2018,34,38,1
2018,35,22,1
2018,36,21,1
2018,37,45,1
2018,38,4,1
2018,39,1,1
2018,40,1,1
2018,41,4,1
2018,45,2,1
2018,46,10,1
2018,47,5,1
2018,48,11,1
2018,49,1,1
2018,50,2,1
2018,52,3,1
2018,53,3,1
2018,55,12,1
2018,57,3,1
2018,58,4,1
2018,59,3,1
2018,60,1,1
2018,61,2,1
2018,64,5,1
2018,67,3,1
2018,69,3,1
2018,70,37,1
2018,71,30,1
2018,79,3,1
2018,80,9,1
2018,85,19,1
2018,86,8,1
2018,87,1,1
2018,88,3,1
2018,89,13,1
2018,90,4,1
2018,91,4,1
2018,92,5,1
2018,93,2,1
2018,95,12,1
2018,96,11,1
2018,97,1,1
2018,99,5,1
2018,100,8,1
2018,101,4,1
2018,103,1,1
2018,104,12,1
2018,105,30,1
2018,106,7,1
2018,107,8,1
2018,108,13,1
2018,109,4,1
2018,110,2,1
2018,111,8,1
2018,112,1,1
2018,113,18,1
2018,114,12,1
2018,115,12,1
2018,116,11,1
2018,117,60,1
2018,118,33,1
2018,119,38,1
2018,120,20,1
2018,121,33,1
2018,122,42,1
2018,123,31,1
2018,124,11,1
2018,125,47,1
2018,126,14,1
2018,127,42,1
2018,128,16,1
2018,129,7,1
2018,132,13,1
2018,134,7,1
2018,136,9,1
2018,137,9,1
2018,139,3,1
2018,140,5,1
2018,142,2,1
2018,143,23,1
2018,144,23,1
2018,146,12,1
2018,147,2,1
2018,149,6,1
2018,150,7,1
2018,151,6,1
2018,155,5,1
2018,156,13,1
2018,157,2,1
2018,158,17,1
2018,159,8,1
2018,169,63,1
2018,170,5,1
2018,172,2,1
2018,173,11,1
2018,174,1,1
2018,175,2,1
2018,176,1,1
2018,178,11,1
2018,180,8,1
2018,181,5,1
2018,189,15,1
2018,190,9,1
2018,191,37,1
2018,192,7,1
2018,193,7,1
2018,210,3,1
2018,212,3,1
2018,213,3,1
2018,215,9,1
2018,217,4,1
2018,218,7,1
2018,219,16,1
2018,222,12,1
2018,223,3,1
2018,224,8,1
