año,codigo snies del programa,inscritos,semestre
2016,69,57,2
2016,79,16,2
2016,80,24,2
2016,85,82,2
2016,86,9,2
2016,89,24,2
2016,91,27,2
2016,92,23,2
2016,95,40,2
2016,96,20,2
2016,97,16,2
2016,98,21,2
2016,99,47,2
2016,100,43,2
2016,101,34,2
2016,104,73,2
2016,105,29,2
2016,107,12,2
2016,108,27,2
2016,110,3,2
2016,111,11,2
2016,112,11,2
2016,132,25,2
2016,135,18,2
2016,136,5,2
2016,137,25,2
2016,141,7,2
2016,142,4,2
2016,146,338,2
2016,147,52,2
2016,149,620,2
2016,150,121,2
2016,151,688,2
2016,153,768,2
2016,154,394,2
2016,155,39,2
2016,156,64,2
2016,157,152,2
2016,158,96,2
2016,159,194,2
2016,165,20,2
2016,173,4,2
2016,177,91,2
2016,178,118,2
2016,180,202,2
2016,181,81,2
2016,182,114,2
2016,188,126,2
2016,189,238,2
2016,190,264,2
2016,191,154,2
2016,192,70,2
2016,193,112,2
2016,194,13,2
2016,195,22,2
2016,197,16,2
2016,204,2,2
2016,210,75,2
2016,212,101,2
2016,213,90,2
2016,215,65,2
2016,216,67,2
2016,217,102,2
2016,218,76,2
2016,219,31,2
2016,224,57,2
2016,225,130,2
2016,229,88,2
2016,230,896,2
2016,233,1231,2
2016,234,447,2
2016,235,528,2
2016,236,1045,2
2016,238,394,2
2016,239,2,2
2016,240,2,2
2016,241,3,2
2016,242,3,2
2016,243,4,2
2016,244,4,2
2016,245,37,2
2016,257,201,2
2016,258,114,2
2016,267,794,2
2016,268,273,2
2016,269,290,2
2016,270,129,2
2016,271,449,2
2016,272,185,2
2016,279,4,2
2016,281,5,2
2016,283,2,2
2016,284,4,2
2016,288,3,2
2016,289,17,2
2016,290,336,2
2016,291,10,2
2016,292,37,2
2016,293,498,2
2016,294,8,2
2016,295,3,2
2016,296,6,2
2016,310,31,2
2016,312,14,2
2016,314,10,2
2016,316,2,2
2016,320,148,2
2016,321,121,2
2016,325,465,2
2016,326,44,2
2016,327,59,2
2016,337,155,2
2016,338,368,2
2016,340,263,2
2016,341,72,2
2016,342,40,2
2016,343,10,2
2016,344,18,2
2016,347,60,2
2016,351,52,2
2016,352,148,2
2016,361,463,2
2016,362,128,2
2016,363,162,2
2016,364,88,2
2016,365,242,2
2016,380,21,2
2016,395,55,2
2016,400,16,2
2016,401,147,2
2016,403,1174,2
2016,404,207,2
2016,405,249,2
