año,codigo snies del programa,matriculados,semestre
2020,3,402,2
2020,4,298,2
2020,5,459,2
2020,6,271,2
2020,7,715,2
2020,8,274,2
2020,9,1507,2
2020,10,454,2
2020,11,600,2
2020,12,167,2
2020,13,388,2
2020,14,714,2
2020,15,458,2
2020,16,412,2
2020,17,853,2
2020,18,911,2
2020,19,832,2
2020,20,295,2
2020,21,205,2
2020,23,672,2
2020,24,627,2
2020,25,1169,2
2020,27,589,2
2020,28,759,2
2020,29,1176,2
2020,30,739,2
2020,31,544,2
2020,32,460,2
2020,33,632,2
2020,34,356,2
2020,35,292,2
2020,36,594,2
2020,37,688,2
2020,38,24,2
2020,39,17,2
2020,40,10,2
2020,41,10,2
2020,45,5,2
2020,46,24,2
2020,47,26,2
2020,48,55,2
2020,49,10,2
2020,50,6,2
2020,52,24,2
2020,53,11,2
2020,55,36,2
2020,57,20,2
2020,58,19,2
2020,59,5,2
2020,60,11,2
2020,61,7,2
2020,64,23,2
2020,65,4,2
2020,66,9,2
2020,67,16,2
2020,69,47,2
2020,70,86,2
2020,71,12,2
2020,79,24,2
2020,80,34,2
2020,85,62,2
2020,86,27,2
2020,87,16,2
2020,88,75,2
2020,89,53,2
2020,90,15,2
2020,91,30,2
2020,92,43,2
2020,93,15,2
2020,95,42,2
2020,96,38,2
2020,97,22,2
2020,99,20,2
2020,100,57,2
2020,101,44,2
2020,103,24,2
2020,104,81,2
2020,105,95,2
2020,106,35,2
2020,107,29,2
2020,108,63,2
2020,109,30,2
2020,110,17,2
2020,111,25,2
2020,112,25,2
2020,113,380,2
2020,114,362,2
2020,115,292,2
2020,116,333,2
2020,117,955,2
2020,118,413,2
2020,119,327,2
2020,120,523,2
2020,121,530,2
2020,122,631,2
2020,123,626,2
2020,124,513,2
2020,125,524,2
2020,126,530,2
2020,127,603,2
2020,128,343,2
2020,129,215,2
2020,132,22,2
2020,134,16,2
2020,135,13,2
2020,136,24,2
2020,137,18,2
2020,139,37,2
2020,140,18,2
2020,142,16,2
2020,143,397,2
2020,144,289,2
2020,146,440,2
2020,147,199,2
2020,149,152,2
2020,150,113,2
2020,151,726,2
2020,152,1,2
2020,153,134,2
2020,154,129,2
2020,155,156,2
2020,156,290,2
2020,157,360,2
2020,158,397,2
2020,159,475,2
2020,162,11,2
2020,165,12,2
2020,169,172,2
2020,170,78,2
2020,172,41,2
2020,173,28,2
2020,174,3,2
2020,175,112,2
2020,176,245,2
2020,177,196,2
2020,178,481,2
2020,180,514,2
2020,181,443,2
2020,182,193,2
2020,188,226,2
2020,189,856,2
2020,190,924,2
2020,191,590,2
2020,192,469,2
2020,193,541,2
2020,194,51,2
2020,195,58,2
2020,197,44,2
2020,204,30,2
2020,205,28,2
2020,207,43,2
2020,208,3,2
2020,210,402,2
2020,212,581,2
2020,213,527,2
2020,215,352,2
2020,216,418,2
2020,217,474,2
2020,218,387,2
2020,219,6,2
2020,257,598,2
2020,258,185,2
2020,260,254,2
2020,263,393,2
2020,265,1,2
2020,266,120,2
2020,267,661,2
2020,268,786,2
2020,269,1189,2
2020,270,998,2
2020,271,1930,2
2020,272,895,2
2020,275,26,2
2020,276,98,2
2020,278,15,2
2020,279,38,2
2020,281,2,2
2020,282,1,2
2020,284,24,2
2020,288,46,2
2020,289,25,2
2020,290,44,2
2020,291,121,2
2020,292,5,2
2020,293,34,2
2020,294,71,2
2020,295,3,2
2020,296,8,2
2020,297,8,2
2020,298,7,2
2020,300,3,2
2020,302,8,2
2020,303,8,2
2020,305,7,2
2020,306,9,2
2020,308,11,2
2020,310,25,2
2020,312,8,2
2020,314,11,2
2020,316,1,2
2020,320,695,2
2020,321,87,2
2020,325,347,2
2020,326,594,2
2020,327,661,2
2020,332,5,2
2020,337,238,2
2020,338,507,2
2020,340,1073,2
2020,341,271,2
2020,342,279,2
2020,343,39,2
2020,347,473,2
2020,351,273,2
2020,352,277,2
2020,354,95,2
2020,358,67,2
2020,361,1769,2
2020,362,620,2
2020,363,1171,2
2020,364,644,2
2020,365,1256,2
2020,366,31,2
2020,367,1,2
2020,368,29,2
2020,369,4,2
2020,370,8,2
2020,371,3,2
2020,372,38,2
2020,374,8,2
2020,375,34,2
2020,377,2,2
2020,378,7,2
2020,379,11,2
2020,380,8,2
2020,382,25,2
2020,383,16,2
2020,384,6,2
2020,385,38,2
2020,386,7,2
2020,388,12,2
2020,389,2,2
2020,390,11,2
2020,391,7,2
2020,394,6,2
2020,395,107,2
2020,400,6,2
2020,403,57,2
2020,404,48,2
2020,412,361,2
2020,413,514,2
2020,420,7,2
2020,426,35,2
2020,428,4,2
2020,434,122,2
2020,435,47,2
2020,436,4,2
2020,451,59,2
2020,452,462,2
2020,453,408,2
2020,454,236,2
2020,455,462,2
2020,458,25,2
2020,460,9,2
2020,462,16,2
2020,463,9,2
2020,464,29,2
2020,465,5,2
2020,466,15,2
2020,467,16,2
2020,468,9,2
2020,469,14,2
2020,471,12,2
2020,472,35,2
2020,473,22,2
2020,474,16,2
2020,476,5,2
2020,477,6,2
2020,479,14,2
2020,481,13,2
2020,483,20,2
2020,484,19,2
2020,485,9,2
2020,494,18,2
2020,504,30,2
2020,510,17,2
2020,511,19,2
2020,513,21,2
2020,515,39,2
2020,516,21,2
2020,517,10,2
2020,519,35,2
2020,521,17,2
2020,522,179,2
2020,523,237,2
2020,530,470,2
2020,531,1817,2
2020,532,652,2
2020,535,1088,2
2020,536,939,2
2020,537,799,2
2020,538,767,2
2020,539,365,2
2020,549,304,2
2020,551,149,2
2020,555,248,2
2020,557,205,2
2020,559,301,2
2020,565,175,2
2020,566,221,2
2020,568,186,2
2020,569,199,2
2020,570,693,2
2020,571,238,2
2020,572,250,2
2020,573,275,2
2020,574,377,2
2020,575,273,2
2020,576,197,2
2020,577,213,2
2020,578,171,2
2020,579,486,2
2020,580,422,2
2020,581,730,2
2020,582,318,2
2020,583,414,2
2020,584,451,2
2020,585,435,2
2020,586,412,2
2020,587,417,2
2020,588,352,2
2020,589,373,2
2020,591,519,2
2020,592,291,2
2020,593,250,2
2020,594,246,2
2020,595,145,2
2020,596,367,2
2020,601,16,2
2020,602,12,2
2020,603,16,2
2020,604,9,2
2020,605,18,2
2020,606,2,2
2020,607,5,2
2020,608,6,2
2020,609,13,2
2020,610,8,2
2020,611,23,2
2020,612,7,2
2020,613,5,2
2020,614,4,2
2020,615,21,2
2020,616,9,2
2020,618,3,2
2020,621,10,2
2020,622,5,2
2020,626,33,2
2020,628,25,2
2020,633,5,2
2020,636,34,2
2020,640,7,2
2020,642,17,2
2020,643,5,2
2020,645,53,2
2020,650,51,2
2020,651,67,2
2020,652,41,2
2020,654,13,2
2020,655,47,2
2020,656,14,2
2020,658,39,2
2020,659,29,2
2020,660,182,2
2020,662,37,2
2020,663,13,2
2020,664,27,2
2020,670,55,2
2020,672,11,2
2020,673,12,2
2020,674,14,2
2020,676,23,2
2020,677,44,2
2020,678,18,2
2020,679,22,2
2020,680,22,2
2020,683,341,2
2020,684,398,2
2020,685,278,2
2020,687,268,2
2020,689,207,2
2020,690,239,2
2020,691,440,2
2020,692,175,2
2020,693,496,2
2020,694,401,2
2020,695,1,2
2020,696,1481,2
2020,697,770,2
2020,698,760,2
2020,699,967,2
2020,700,1633,2
2020,701,1415,2
2020,702,491,2
2020,703,1288,2
2020,704,277,2
2020,705,188,2
2020,706,532,2
2020,707,435,2
2020,709,12,2
2020,710,14,2
2020,711,15,2
2020,712,4,2
2020,713,5,2
2020,714,12,2
2020,716,11,2
2020,717,18,2
2020,726,10,2
2020,728,40,2
2020,731,14,2
2020,732,36,2
2020,733,25,2
2020,736,501,2
2020,737,712,2
2020,738,474,2
2020,739,447,2
2020,740,955,2
2020,741,346,2
2020,742,920,2
2020,744,124,2
2020,745,148,2
2020,746,217,2
2020,747,395,2
2020,748,389,2
2020,749,18,2
2020,750,26,2
2020,751,4,2
2020,753,12,2
2020,754,6,2
2020,755,4,2
2020,756,16,2
2020,759,12,2
2020,762,12,2
2020,766,28,2
2020,767,10,2
2020,770,27,2
2020,773,2,2
2020,774,8,2
2020,776,9,2
2020,777,247,2
2020,779,371,2
2020,783,196,2
2020,786,822,2
2020,788,356,2
2020,789,500,2
2020,790,313,2
2020,791,782,2
2020,794,128,2
2020,796,48,2
2020,799,202,2
2020,800,126,2
2020,801,441,2
2020,803,297,2
2020,805,250,2
2020,807,291,2
2020,808,334,2
2020,809,189,2
2020,810,427,2
2020,811,317,2
2020,818,36,2
2020,819,139,2
2020,827,397,2
2020,829,69,2
2020,831,239,2
2020,834,1020,2
2020,835,691,2
2020,839,110,2
2020,841,1,2
2020,842,537,2
2020,843,32,2
2020,847,1,2
2020,850,2,2
2020,851,1,2
2020,852,387,2
2020,854,129,2
2020,855,1392,2
2020,856,681,2
2020,857,546,2
2020,863,1,2
2020,866,90,2
2020,870,522,2
2020,873,273,2
2020,882,598,2
2020,884,528,2
2020,885,542,2
2020,889,388,2
2020,895,37,2
2020,898,392,2
2020,902,288,2
2020,904,84,2
2020,906,369,2
2020,907,403,2
2020,908,416,2
2020,910,307,2
2020,911,2,2
2020,913,596,2
2020,914,94,2
2020,915,651,2
2020,916,540,2
2020,917,1141,2
2020,918,1034,2
2020,919,973,2
2020,920,1172,2
2020,921,571,2
2020,923,31,2
2020,924,4,2
2020,925,789,2
2020,926,496,2
2020,933,13,2
2020,935,193,2
2020,936,17,2
2020,937,31,2
2020,943,147,2
2020,944,392,2
2020,946,365,2
2020,947,378,2
2020,949,1616,2
2020,950,901,2
2020,951,1245,2
2020,952,563,2
2020,953,1524,2
2020,954,441,2
2020,955,139,2
2020,956,144,2
2020,957,123,2
2020,958,281,2
2020,959,691,2
2020,960,453,2
2020,961,1073,2
2020,962,934,2
2020,964,250,2
2020,965,101,2
2020,967,18,2
2020,968,23,2
2020,971,11,2
2020,972,15,2
2020,973,25,2
2020,974,4,2
2020,975,1,2
2020,976,3,2
2020,978,15,2
2020,979,10,2
2020,980,26,2
2020,983,3,2
2020,984,31,2
2020,985,23,2
2020,986,8,2
2020,988,8,2
2020,990,27,2
2020,991,23,2
2020,995,6,2
2020,998,15,2
2020,999,19,2
2020,1001,84,2
2020,1002,1,2
2020,1003,52,2
2020,1005,31,2
2020,1006,22,2
2020,1007,11,2
2020,1008,53,2
2020,1009,36,2
2020,1010,66,2
2020,1012,87,2
2020,1018,22,2
2020,1019,5,2
2020,1020,14,2
2020,1021,13,2
2020,1025,2,2
2020,1026,23,2
2020,1027,83,2
2020,1028,40,2
2020,1029,37,2
2020,1030,29,2
2020,1033,30,2
2020,1036,66,2
2020,1037,25,2
2020,1038,20,2
2020,1039,476,2
2020,1040,725,2
2020,1041,108,2
2020,1042,188,2
2020,1043,170,2
2020,1044,379,2
2020,1046,53,2
2020,1047,31,2
2020,1050,5,2
2020,1053,131,2
2020,1054,179,2
2020,1056,72,2
2020,1059,44,2
2020,1060,27,2
2020,1061,44,2
2020,1062,57,2
2020,1063,89,2
2020,1074,3,2
2020,1077,2,2
2020,1078,304,2
2020,1079,253,2
2020,1080,741,2
2020,1081,286,2
2020,1082,28,2
2020,1083,347,2
2020,1084,544,2
2020,1085,210,2
2020,1086,366,2
2020,1087,100,2
2020,1088,32,2
2020,1091,42,2
2020,1092,11,2
2020,1094,16,2
2020,1096,72,2
2020,1097,697,2
2020,1098,1175,2
2020,1099,104,2
2020,1101,68,2
2020,1102,175,2
2020,1103,687,2
2020,1104,22,2
2020,1110,638,2
2020,1111,173,2
2020,1112,1673,2
2020,1113,283,2
2020,1114,533,2
2020,1115,522,2
2020,1116,369,2
2020,1117,256,2
2020,1120,84,2
2020,1121,18,2
2020,1125,89,2
2020,1126,88,2
2020,1130,21,2
2020,1136,52,2
2020,1138,67,2
2020,1143,541,2
2020,1144,388,2
2020,1146,410,2
2020,1147,354,2
2020,1148,110,2
2020,1149,80,2
2020,1150,4,2
2020,1151,225,2
2020,1152,156,2
2020,1153,3,2
2020,1155,202,2
2020,1156,127,2
2020,1158,185,2
2020,1166,134,2
2020,1169,810,2
2020,1170,1007,2
2020,1172,316,2
2020,1173,369,2
2020,1175,541,2
2020,1176,47,2
2020,1178,354,2
2020,1179,303,2
2020,1180,276,2
2020,1185,1,2
2020,1191,26,2
2020,1192,721,2
2020,1193,347,2
2020,1195,658,2
2020,1196,317,2
2020,1197,77,2
2020,1198,1,2
2020,1199,100,2
2020,1200,145,2
2020,1201,131,2
2020,1202,302,2
2020,1203,339,2
2020,1204,10,2
2020,1205,957,2
2020,1206,4,2
2020,1207,9,2
2020,1208,12,2
2020,1210,15,2
2020,1211,6,2
2020,1212,12,2
2020,1213,10,2
2020,1214,11,2
2020,1216,5,2
2020,1217,30,2
2020,1218,11,2
2020,1219,9,2
2020,1220,38,2
2020,1224,29,2
2020,1227,58,2
2020,1228,26,2
2020,1229,24,2
2020,1236,185,2
2020,1237,918,2
2020,1238,656,2
2020,1239,635,2
2020,1240,567,2
2020,1241,94,2
2020,1242,22,2
2020,1244,979,2
2020,1245,1948,2
2020,1246,125,2
2020,1247,743,2
2020,1248,494,2
2020,1249,209,2
2020,1250,461,2
2020,1251,250,2
2020,1252,120,2
2020,1254,109,2
2020,1256,60,2
2020,1261,16,2
2020,1263,1,2
2020,1264,32,2
2020,1265,159,2
2020,1266,20,2
2020,1267,110,2
2020,1268,190,2
2020,1269,1403,2
2020,1270,915,2
2020,1271,864,2
2020,1272,1097,2
2020,1273,1005,2
2020,1275,216,2
2020,1276,1059,2
2020,1277,679,2
2020,1279,19,2
2020,1280,19,2
2020,1283,17,2
2020,1284,6,2
2020,1285,13,2
2020,1291,80,2
2020,1293,667,2
2020,1294,153,2
2020,1295,1439,2
2020,1296,103,2
2020,1297,2093,2
2020,1298,347,2
2020,1299,483,2
2020,1300,45,2
2020,1301,28,2
2020,1302,4,2
2020,1303,34,2
2020,1305,23,2
2020,1307,29,2
2020,1308,3,2
2020,1309,11,2
2020,1310,12,2
2020,1311,6,2
2020,1312,39,2
2020,1313,5,2
2020,1315,32,2
2020,1316,14,2
2020,1317,16,2
2020,1318,8,2
2020,1319,2,2
2020,1323,155,2
2020,1324,6,2
2020,1325,49,2
2020,1326,53,2
2020,1328,41,2
2020,1329,2,2
2020,1330,39,2
2020,1332,23,2
2020,1335,354,2
2020,1336,329,2
2020,1337,426,2
2020,1338,951,2
2020,1339,465,2
2020,1340,33,2
2020,1347,87,2
2020,1348,267,2
2020,1349,112,2
2020,1350,404,2
2020,1361,337,2
2020,1363,47,2
2020,1365,54,2
2020,1371,54,2
2020,1372,31,2
2020,1380,831,2
2020,1381,2926,2
2020,1383,994,2
2020,1384,48,2
2020,1385,541,2
2020,1386,1173,2
2020,1387,36,2
2020,1394,440,2
2020,1395,376,2
2020,1396,451,2
2020,1399,322,2
2020,1402,322,2
2020,1403,484,2
2020,1409,413,2
2020,1412,100,2
2020,1413,3,2
2020,1415,115,2
2020,1422,2794,2
2020,1423,24,2
2020,1424,18,2
2020,1425,617,2
2020,1426,1457,2
2020,1430,1346,2
2020,1431,40,2
2020,1432,50,2
2020,1433,1026,2
2020,1434,114,2
2020,1435,41,2
2020,1439,295,2
2020,1441,341,2
2020,1442,322,2
2020,1444,376,2
2020,1445,98,2
2020,1446,643,2
2020,1447,74,2
2020,1448,246,2
2020,1450,504,2
2020,1451,636,2
2020,1455,14,2
2020,1464,162,2
2020,1466,320,2
2020,1468,37,2
2020,1475,2648,2
2020,1476,509,2
2020,1477,532,2
2020,1483,2622,2
2020,1485,372,2
2020,1487,128,2
2020,1488,119,2
2020,1489,147,2
2020,1490,80,2
2020,1491,21,2
2020,1492,782,2
2020,1493,1350,2
2020,1494,340,2
2020,1496,57,2
2020,1497,1016,2
2020,1498,1438,2
2020,1499,1255,2
2020,1503,984,2
2020,1504,110,2
2020,1512,1663,2
2020,1513,82,2
2020,1514,465,2
2020,1516,941,2
2020,1519,15,2
2020,1520,34,2
2020,1527,296,2
2020,1529,255,2
2020,1531,210,2
2020,1532,474,2
2020,1533,1419,2
2020,1534,465,2
2020,1535,1310,2
2020,1536,1595,2
2020,1537,134,2
2020,1538,7,2
2020,1539,724,2
2020,1540,833,2
2020,1541,149,2
2020,1542,1582,2
2020,1543,686,2
2020,1544,795,2
2020,1545,289,2
2020,1546,349,2
2020,1547,186,2
2020,1548,282,2
2020,1550,39,2
2020,1551,21,2
2020,1552,23,2
2020,1555,33,2
2020,1561,31,2
2020,1568,8,2
2020,1569,4,2
2020,1573,32,2
2020,1574,153,2
2020,1575,271,2
2020,1576,95,2
2020,1578,182,2
2020,1579,22,2
2020,1580,27,2
2020,1581,93,2
2020,1582,41,2
2020,1585,17,2
2020,1587,33,2
2020,1591,126,2
2020,1592,580,2
2020,1593,73,2
2020,1595,102,2
2020,1596,170,2
2020,1597,186,2
2020,1598,1265,2
2020,1599,110,2
2020,1605,103,2
2020,1606,122,2
2020,1607,4,2
2020,1614,102,2
2020,1621,54,2
2020,1622,153,2
2020,1626,102,2
2020,1627,117,2
2020,1628,183,2
2020,1630,240,2
2020,1635,168,2
2020,1636,157,2
2020,1640,698,2
2020,1641,337,2
2020,1642,180,2
2020,1643,313,2
2020,1644,10,2
2020,1645,26,2
2020,1646,12,2
2020,1647,21,2
2020,1649,20,2
2020,1650,87,2
2020,1651,282,2
2020,1652,71,2
2020,1653,82,2
