año,codigo snies del programa,matriculados,semestre
2020,3,57.0,1.0
2020,4,38.0,1.0
2020,5,45.0,1.0
2020,6,26.0,1.0
2020,7,71.0,1.0
2020,8,2.0,1.0
2020,9,120.0,1.0
2020,10,49.0,1.0
2020,11,82.0,1.0
2020,12,48.0,1.0
2020,13,44.0,1.0
2020,14,74.0,1.0
2020,15,51.0,1.0
2020,16,51.0,1.0
2020,17,90.0,1.0
2020,18,108.0,1.0
2020,19,77.0,1.0
2020,20,41.0,1.0
2020,21,57.0,1.0
2020,23,94.0,1.0
2020,24,92.0,1.0
2020,25,118.0,1.0
2020,27,70.0,1.0
2020,28,84.0,1.0
2020,29,123.0,1.0
2020,30,85.0,1.0
2020,31,52.0,1.0
2020,32,50.0,1.0
2020,33,93.0,1.0
2020,34,43.0,1.0
2020,35,37.0,1.0
2020,36,65.0,1.0
2020,37,65.0,1.0
2020,38,6.0,1.0
2020,39,4.0,1.0
2020,40,2.0,1.0
2020,41,3.0,1.0
2020,45,2.0,1.0
2020,46,9.0,1.0
2020,47,6.0,1.0
2020,48,10.0,1.0
2020,49,2.0,1.0
2020,50,2.0,1.0
2020,52,6.0,1.0
2020,53,4.0,1.0
2020,55,12.0,1.0
2020,57,6.0,1.0
2020,58,5.0,1.0
2020,59,2.0,1.0
2020,60,3.0,1.0
2020,61,3.0,1.0
2020,64,8.0,1.0
2020,65,1.0,1.0
2020,66,3.0,1.0
2020,67,4.0,1.0
2020,69,2.0,1.0
2020,70,37.0,1.0
2020,71,9.0,1.0
2020,79,7.0,1.0
2020,80,8.0,1.0
2020,85,20.0,1.0
2020,86,9.0,1.0
2020,87,3.0,1.0
2020,88,58.0,1.0
2020,89,30.0,1.0
2020,92,5.0,1.0
2020,93,1.0,1.0
2020,96,8.0,1.0
2020,97,1.0,1.0
2020,100,3.0,1.0
2020,101,3.0,1.0
2020,103,3.0,1.0
2020,104,15.0,1.0
2020,105,14.0,1.0
2020,106,16.0,1.0
2020,107,3.0,1.0
2020,108,11.0,1.0
2020,109,11.0,1.0
2020,110,2.0,1.0
2020,111,5.0,1.0
2020,113,63.0,1.0
2020,114,39.0,1.0
2020,115,37.0,1.0
2020,116,60.0,1.0
2020,117,77.0,1.0
2020,118,38.0,1.0
2020,119,46.0,1.0
2020,120,54.0,1.0
2020,121,51.0,1.0
2020,122,62.0,1.0
2020,123,57.0,1.0
2020,124,46.0,1.0
2020,125,49.0,1.0
2020,126,40.0,1.0
2020,127,58.0,1.0
2020,128,39.0,1.0
2020,129,35.0,1.0
2020,132,13.0,1.0
2020,134,19.0,1.0
2020,136,3.0,1.0
2020,137,7.0,1.0
2020,140,9.0,1.0
2020,142,2.0,1.0
2020,143,53.0,1.0
2020,144,37.0,1.0
2020,146,41.0,1.0
2020,147,23.0,1.0
2020,151,75.0,1.0
2020,155,19.0,1.0
2020,156,39.0,1.0
2020,157,47.0,1.0
2020,158,46.0,1.0
2020,159,47.0,1.0
2020,162,11.0,1.0
2020,169,35.0,1.0
2020,170,43.0,1.0
2020,172,13.0,1.0
2020,173,17.0,1.0
2020,176,42.0,1.0
2020,178,50.0,1.0
2020,180,58.0,1.0
2020,181,47.0,1.0
2020,188,3.0,1.0
2020,189,91.0,1.0
2020,190,94.0,1.0
2020,191,53.0,1.0
2020,192,44.0,1.0
2020,193,45.0,1.0
2020,194,16.0,1.0
2020,195,39.0,1.0
2020,197,43.0,1.0
2020,204,7.0,1.0
2020,205,8.0,1.0
2020,207,5.0,1.0
2020,210,35.0,1.0
2020,212,38.0,1.0
2020,213,44.0,1.0
2020,215,35.0,1.0
2020,216,36.0,1.0
2020,217,42.0,1.0
2020,218,35.0,1.0
2020,222,29.0,1.0
2020,223,36.0,1.0
2020,224,23.0,1.0
2020,229,40.0,1.0
2020,230,40.0,1.0
2020,232,44.0,1.0
2020,233,107.0,1.0
2020,234,45.0,1.0
