año,codigo snies del programa,graduados,id genero,semestre
2016,1,47,1,1
2016,2,18,1,1
2016,3,32,2,1
2016,4,19,2,1
2016,5,49,1,1
2016,6,11,2,1
2016,7,48,1,1
2016,8,5,1,1
2016,9,1,1,1
2016,10,23,2,1
2016,11,39,2,1
2016,12,8,1,1
2016,13,53,2,1
2016,14,63,2,1
2016,15,27,2,1
2016,16,44,2,1
2016,17,47,1,1
2016,18,50,1,1
2016,19,66,2,1
2016,20,29,1,1
2016,21,18,2,1
2016,22,15,1,1
2016,23,53,2,1
2016,24,19,2,1
2016,25,77,1,1
2016,26,57,2,1
2016,27,55,1,1
2016,28,38,2,1
2016,29,99,1,1
2016,30,46,1,1
2016,31,43,1,1
2016,32,25,1,1
2016,33,25,2,1
2016,34,25,2,1
2016,35,27,2,1
2016,36,26,2,1
2016,37,38,2,1
2016,38,2,1,1
2016,39,2,1,1
2016,41,2,2,1
2016,45,2,1,1
2016,46,8,2,1
2016,47,2,2,1
2016,48,8,1,1
2016,49,1,1,1
2016,50,2,2,1
2016,52,4,1,1
2016,53,3,2,1
2016,55,15,2,1
2016,57,6,2,1
2016,58,4,2,1
2016,59,3,1,1
2016,61,2,1,1
2016,63,6,2,1
2016,64,3,1,1
2016,65,1,2,1
2016,66,1,2,1
2016,67,2,1,1
2016,69,5,2,1
2016,70,112,1,1
2016,71,42,2,1
2016,79,10,2,1
2016,80,7,2,1
2016,86,5,2,1
2016,87,1,1,1
2016,88,1,1,1
2016,89,9,2,1
2016,90,1,1,1
2016,91,6,1,1
2016,92,5,2,1
2016,93,3,2,1
2016,95,6,1,1
2016,96,7,2,1
2016,97,3,2,1
2016,98,6,2,1
2016,99,1,2,1
2016,100,2,1,1
2016,101,4,1,1
2016,104,7,2,1
2016,105,4,1,1
2016,106,6,2,1
2016,107,6,2,1
2016,108,10,1,1
2016,109,7,1,1
2016,110,4,1,1
2016,111,7,2,1
2016,112,2,1,1
2016,113,18,2,1
2016,114,21,1,1
2016,115,23,1,1
2016,116,3,1,1
2016,117,48,2,1
2016,118,18,1,1
2016,119,35,1,1
2016,120,18,2,1
2016,121,46,2,1
2016,122,51,2,1
2016,123,42,2,1
2016,124,20,2,1
2016,125,56,1,1
2016,126,19,1,1
2016,127,37,2,1
2016,128,15,2,1
2016,129,12,1,1
2016,132,8,1,1
2016,134,11,1,1
2016,136,11,1,1
2016,137,11,2,1
2016,139,6,2,1
2016,140,4,2,1
2016,141,5,2,1
2016,142,5,2,1
2016,143,13,2,1
2016,144,5,1,1
2016,146,14,1,1
2016,147,14,2,1
2016,149,4,1,1
2016,150,1,1,1
2016,151,8,1,1
2016,153,1,1,1
2016,154,4,2,1
2016,155,8,2,1
2016,156,6,2,1
2016,157,9,2,1
