año,codigo snies del programa,id genero,inscritos,semestre
2016,48,1,405,2
2016,65,1,1,2
2016,69,2,57,2
2016,79,1,16,2
2016,80,1,24,2
2016,85,2,82,2
2016,86,1,9,2
2016,89,2,24,2
2016,91,2,27,2
2016,92,1,23,2
2016,95,2,40,2
2016,96,1,20,2
2016,97,1,16,2
2016,98,1,21,2
2016,99,1,47,2
2016,100,1,43,2
2016,101,1,34,2
2016,104,2,73,2
2016,105,2,29,2
2016,107,2,12,2
2016,108,2,27,2
2016,110,1,3,2
2016,111,1,11,2
2016,112,1,11,2
2016,132,1,25,2
2016,135,1,18,2
2016,136,2,5,2
2016,137,1,25,2
2016,141,1,7,2
2016,142,1,4,2
2016,146,1,338,2
2016,147,2,52,2
2016,149,1,620,2
2016,150,2,121,2
2016,151,2,688,2
2016,153,2,768,2
2016,154,1,394,2
2016,155,2,39,2
2016,156,1,64,2
2016,157,2,152,2
2016,158,2,96,2
2016,159,1,194,2
2016,165,1,20,2
2016,173,2,4,2
2016,177,2,91,2
2016,178,2,118,2
2016,180,1,202,2
2016,181,2,81,2
2016,182,1,114,2
2016,188,1,126,2
2016,189,1,238,2
2016,190,2,264,2
2016,191,2,154,2
2016,192,2,70,2
2016,193,1,112,2
2016,194,2,13,2
2016,195,1,22,2
2016,197,2,16,2
2016,204,2,2,2
2016,210,2,75,2
2016,212,1,101,2
2016,213,1,90,2
2016,215,1,65,2
2016,216,1,67,2
2016,217,2,102,2
2016,218,2,76,2
2016,219,2,31,2
2016,224,1,57,2
2016,225,1,130,2
2016,229,2,88,2
2016,230,1,896,2
2016,233,2,1231,2
2016,234,2,447,2
2016,235,1,528,2
2016,236,1,1045,2
2016,238,1,394,2
2016,239,1,2,2
2016,240,1,2,2
2016,241,1,3,2
2016,242,1,3,2
2016,243,1,4,2
2016,244,2,4,2
2016,245,2,37,2
2016,257,1,201,2
2016,258,2,114,2
2016,267,1,794,2
2016,268,2,273,2
2016,269,1,290,2
2016,270,1,129,2
2016,271,2,449,2
2016,272,1,185,2
2016,279,1,4,2
2016,281,1,5,2
2016,283,1,2,2
2016,284,2,4,2
2016,288,2,3,2
2016,289,1,17,2
2016,290,2,336,2
2016,291,1,10,2
2016,292,2,37,2
2016,293,2,498,2
2016,294,2,8,2
2016,295,2,3,2
2016,296,1,6,2
2016,310,1,31,2
2016,312,2,14,2
2016,314,1,10,2
2016,316,2,2,2
2016,320,2,148,2
2016,321,1,121,2
2016,325,1,465,2
2016,326,2,44,2
2016,327,1,59,2
2016,337,1,155,2
2016,338,1,368,2
2016,340,1,263,2
2016,341,1,72,2
2016,342,2,40,2
2016,343,2,10,2
2016,344,2,18,2
2016,347,2,60,2
2016,351,2,52,2
2016,352,2,148,2
2016,361,1,463,2
2016,362,2,128,2
2016,363,1,162,2
2016,364,2,88,2
2016,365,1,242,2
2016,380,1,21,2
2016,395,2,55,2
