Año,Código SNIES del programa,Id Género,Inscritos 2016,Semestre
continuous,continuous,1 2,continuous,1 2
,,,,
2016,2,1,4,1
2016,4,1,2,1
2016,5,1,5,1
2016,6,1,2,1
2016,7,1,2,1
2016,9,1,3,1
2016,11,1,1,1
2016,12,1,4,1
2016,15,1,1,1
2016,16,1,2,1
2016,17,1,6,1
2016,18,1,3,1
2016,19,1,2,1
2016,20,1,3,1
2016,21,1,7,1
2016,23,1,3,1
2016,24,1,2,1
2016,25,1,5,1
2016,26,1,8,1
2016,27,1,3,1
2016,28,1,9,1
2016,29,1,2,1
2016,30,1,3,1
2016,32,1,2,1
2016,33,1,5,1
2016,36,1,5,1
2016,38,1,94,1
2016,39,1,19,1
2016,40,1,85,1
2016,41,1,47,1
2016,45,1,7,1
2016,46,1,56,1
2016,47,1,36,1
2016,48,1,267,1
2016,49,1,41,1
2016,50,1,21,1
2016,51,1,33,1
2016,52,1,109,1
2016,53,1,24,1
2016,55,1,85,1
2016,57,1,17,1
2016,58,1,98,1
2016,59,1,4,1
2016,60,1,50,1
2016,61,1,26,1
2016,64,1,179,1
2016,66,1,8,1
2016,67,1,36,1
2016,69,1,9,1
2016,70,1,90,1
2016,71,1,26,1
2016,79,1,3,1
2016,85,1,41,1
2016,86,1,6,1
2016,87,1,7,1
2016,88,1,23,1
2016,89,1,9,1
2016,90,1,20,1
2016,92,1,17,1
2016,96,1,12,1
2016,98,1,14,1
2016,103,1,32,1
2016,104,1,38,1
2016,105,1,18,1
2016,106,1,6,1
2016,107,1,15,1
2016,108,1,19,1
2016,109,1,7,1
2016,110,1,3,1
2016,111,1,3,1
2016,112,1,7,1
2016,2449,1,12,1
2016,2603,1,2,1
2016,2604,1,6,1
2016,2605,1,8,1
2016,2606,1,14,1
2016,3101,1,1,1
2016,3102,1,4,1
2016,3103,1,2,1
2016,3140,1,2,1
2016,3909,1,28,1
2016,3992,1,9,1
2016,4063,1,44,1
2016,16884,1,22,1
2016,16887,1,4,1
2016,16890,1,49,1
2016,16891,1,8,1
2016,16939,1,2,1
2016,16940,1,1,1
2016,16941,1,2,1
2016,16943,1,2,1
2016,16946,1,39,1
2016,16947,1,34,1
2016,16949,1,10,1
2016,16950,1,43,1
2016,16952,1,13,1
2016,16953,1,4,1
2016,16954,1,11,1
2016,16955,1,11,1
2016,17906,1,76,1
2016,19892,1,6,1
2016,19894,1,1,1
2016,19895,1,8,1
2016,19897,1,2,1
2016,19899,1,9,1
2016,19900,1,2,1
2016,19901,1,2,1
2016,19902,1,22,1
2016,19903,1,9,1
2016,19904,1,4,1
2016,19905,1,28,1
2016,19907,1,17,1
2016,19909,1,37,1
2016,19910,1,26,1
2016,19911,1,34,1
2016,19913,1,16,1
2016,19914,1,3,1
2016,19915,1,1,1
2016,19916,1,1,1
2016,19917,1,20,1
2016,19918,1,2,1
2016,19919,1,2,1
2016,19930,1,12,1
2016,19963,1,6,1
2016,20487,1,12,1
2016,21556,1,24,1
2016,21560,1,11,1
2016,21562,1,13,1
2016,21563,1,35,1
2016,51674,1,8,1
2016,51676,1,2,1
2016,51682,1,19,1
2016,51687,1,2,1
2016,52727,1,4,1
2016,52728,1,3,1
2016,52729,1,2,1
2016,52732,1,7,1
2016,52734,1,10,1
2016,52738,1,11,1
2016,52739,1,2,1
2016,52740,1,36,1
2016,52741,1,14,1
2016,52742,1,11,1
2016,52743,1,7,1
2016,52746,1,46,1
2016,52747,1,15,1
2016,52748,1,10,1
2016,52749,1,4,1
2016,52976,1,20,1
2016,52977,1,8,1
2016,52978,1,10,1
2016,52979,1,22,1
2016,53264,1,6,1
2016,53265,1,7,1
2016,53266,1,27,1
2016,53268,1,20,1
2016,53269,1,9,1
2016,53272,1,3,1
2016,54030,1,3,1
2016,54031,1,2,1
