Año,Codigo SNIES del programa,ID Sexo,Inscripciones,Semestre
2017,1,1,4,1
2017,2,2,1,1
2017,5,1,1,1
2017,6,2,1,1
2017,7,1,1,1
2017,9,1,1,1
2017,10,2,3,1
2017,11,2,1,1
2017,12,1,1,1
2017,13,2,1,1
2017,14,1,1,1
2017,17,1,2,1
2017,18,1,3,1
2017,19,1,3,1
2017,20,1,1,1
2017,21,1,1,1
2017,22,2,1,1
2017,24,1,1,1
2017,25,1,1,1
2017,27,1,1,1
2017,28,1,2,1
2017,29,2,4,1
2017,30,2,1,1
2017,32,1,2,1
2017,33,1,2,1
2017,35,1,2,1
2017,36,2,1,1
2017,37,2,2,1
2017,38,1,184,1
2017,39,1,66,1
2017,40,2,162,1
2017,41,1,164,1
2017,45,2,6,1
2017,46,1,128,1
2017,47,1,81,1
2017,48,2,374,1
2017,49,2,43,1
2017,50,1,53,1
2017,51,1,107,1
2017,52,2,154,1
2017,53,1,79,1
2017,55,1,311,1
2017,57,1,51,1
2017,58,1,167,1
2017,59,2,9,1
2017,60,1,69,1
2017,61,1,54,1
2017,63,2,7,1
2017,64,1,209,1
2017,65,1,2,1
2017,66,1,25,1
2017,67,1,88,1
2017,70,1,111,1
2017,71,2,41,1
2017,79,1,5,1
2017,85,2,90,1
2017,86,1,2,1
2017,87,1,23,1
2017,88,1,43,1
2017,89,1,38,1
2017,90,2,31,1
2017,92,2,24,1
2017,96,1,12,1
2017,98,1,17,1
2017,104,2,53,1
2017,105,1,20,1
2017,106,1,25,1
2017,107,2,19,1
2017,108,2,17,1
2017,109,2,19,1
2017,110,2,9,1
2017,111,2,10,1
2017,112,1,14,1
2017,113,2,2,1
2017,114,1,3,1
2017,116,2,1,1
2017,117,1,1,1
2017,118,2,2,1
2017,120,1,1,1
2017,121,1,3,1
2017,122,1,2,1
2017,123,1,3,1
2017,124,1,1,1
2017,125,2,2,1
2017,127,1,2,1
2017,128,1,1,1
2017,129,1,2,1
2017,132,2,19,1
2017,134,1,19,1
2017,135,1,7,1
2017,136,2,11,1
2017,137,2,21,1
2017,139,1,31,1
2017,140,1,15,1
2017,141,1,5,1
