Código SNIES del programa,Año,Semestre,ID Sexo,Inscripciones 2020
1,2020,1,1,116
2,2020,1,2,54
3,2020,1,1,71
4,2020,1,1,35
5,2020,1,2,51
6,2020,1,1,28
7,2020,1,2,100
9,2020,1,1,142
10,2020,1,1,59
11,2020,1,2,115
12,2020,1,1,61
13,2020,1,1,47
14,2020,1,1,80
15,2020,1,1,61
16,2020,1,2,57
17,2020,1,2,105
18,2020,1,1,118
19,2020,1,2,87
20,2020,1,1,51
21,2020,1,2,69
23,2020,1,1,99
24,2020,1,2,116
25,2020,1,2,130
27,2020,1,1,78
28,2020,1,2,104
29,2020,1,1,155
30,2020,1,2,92
31,2020,1,2,68
32,2020,1,2,53
33,2020,1,1,105
34,2020,1,1,48
35,2020,1,1,42
36,2020,1,2,82
37,2020,1,1,73
38,2020,1,1,244
39,2020,1,1,83
40,2020,1,1,229
41,2020,1,1,224
45,2020,1,1,9
46,2020,1,1,149
47,2020,1,2,89
48,2020,1,2,457
49,2020,1,1,82
50,2020,1,1,58
52,2020,1,1,279
53,2020,1,1,153
55,2020,1,2,302
57,2020,1,1,105
58,2020,1,1,225
59,2020,1,2,8
60,2020,1,2,131
61,2020,1,2,60
63,2020,1,2,17
64,2020,1,1,295
65,2020,1,1,5
66,2020,1,2,42
67,2020,1,2,114
70,2020,1,2,168
71,2020,1,1,30
79,2020,1,1,20
80,2020,1,2,43
85,2020,1,1,63
86,2020,1,1,13
87,2020,1,2,22
88,2020,1,1,61
89,2020,1,2,63
92,2020,1,1,17
96,2020,1,2,14
104,2020,1,1,61
105,2020,1,2,21
106,2020,1,2,30
107,2020,1,2,19
108,2020,1,1,27
109,2020,1,2,17
110,2020,1,2,4
111,2020,1,1,5
113,2020,1,2,97
114,2020,1,2,65
115,2020,1,1,75
116,2020,1,1,93
117,2020,1,1,109
118,2020,1,1,60
119,2020,1,1,58
120,2020,1,1,83
121,2020,1,1,71
122,2020,1,1,96
123,2020,1,2,87
124,2020,1,1,70
125,2020,1,2,72
126,2020,1,2,58
127,2020,1,1,70
128,2020,1,1,46
129,2020,1,1,65
132,2020,1,2,20
134,2020,1,2,29
136,2020,1,1,9
137,2020,1,1,9
139,2020,1,1,20
140,2020,1,2,14
142,2020,1,2,4
143,2020,1,1,81
144,2020,1,2,48
146,2020,1,1,287
147,2020,1,1,39
151,2020,1,2,599
155,2020,1,1,31
156,2020,1,1,76
157,2020,1,1,126
158,2020,1,2,95
159,2020,1,1,148
161,2020,1,1,1
162,2020,1,1,11
169,2020,1,1,41
170,2020,1,1,48
172,2020,1,2,16
173,2020,1,2,19
176,2020,1,1,82
178,2020,1,1,109
180,2020,1,1,147
181,2020,1,1,117
189,2020,1,2,242
190,2020,1,1,297
191,2020,1,2,132
192,2020,1,1,99
193,2020,1,1,116
194,2020,1,1,14
195,2020,1,2,22
197,2020,1,2,18
204,2020,1,2,7
205,2020,1,1,11
207,2020,1,2,7
210,2020,1,2,127
212,2020,1,2,174
213,2020,1,2,163
215,2020,1,2,129
