Codigo SNIES del programa,Año,Semestre,ID Sexo,Inscripciones
1,2020,2,1,91
2,2020,2,2,51
3,2020,2,1,67
4,2020,2,1,34
5,2020,2,2,52
6,2020,2,2,32
7,2020,2,2,107
8,2020,2,1,49
9,2020,2,2,124
10,2020,2,2,52
11,2020,2,1,84
13,2020,2,1,38
14,2020,2,1,71
15,2020,2,2,49
16,2020,2,2,51
17,2020,2,1,95
18,2020,2,1,117
19,2020,2,1,85
20,2020,2,2,45
23,2020,2,1,91
24,2020,2,2,99
25,2020,2,2,133
27,2020,2,2,66
28,2020,2,2,85
29,2020,2,2,141
30,2020,2,1,91
31,2020,2,2,66
32,2020,2,2,47
33,2020,2,1,75
34,2020,2,1,42
35,2020,2,2,33
36,2020,2,1,71
37,2020,2,1,70
48,2020,2,1,340
65,2020,2,1,3
69,2020,2,1,40
70,2020,2,2,47
79,2020,2,1,19
80,2020,2,1,26
85,2020,2,1,71
86,2020,2,1,5
90,2020,2,1,6
91,2020,2,1,12
92,2020,2,1,21
95,2020,2,1,19
96,2020,2,1,9
97,2020,2,1,11
99,2020,2,1,35
100,2020,2,1,24
101,2020,2,1,17
104,2020,2,1,44
105,2020,2,1,26
107,2020,2,1,15
108,2020,2,1,18
109,2020,2,1,5
110,2020,2,1,1
111,2020,2,1,3
112,2020,2,1,3
113,2020,2,1,63
114,2020,2,1,57
115,2020,2,1,57
116,2020,2,2,46
117,2020,2,2,105
118,2020,2,1,47
119,2020,2,1,32
120,2020,2,1,63
121,2020,2,1,84
122,2020,2,1,91
123,2020,2,2,71
124,2020,2,1,61
125,2020,2,1,89
126,2020,2,2,47
127,2020,2,1,67
128,2020,2,1,22
129,2020,2,1,47
132,2020,2,1,17
135,2020,2,1,6
136,2020,2,1,8
137,2020,2,1,7
142,2020,2,1,7
143,2020,2,2,72
144,2020,2,1,48
146,2020,2,1,134
147,2020,2,1,24
151,2020,2,2,204
155,2020,2,2,25
156,2020,2,2,37
157,2020,2,2,66
158,2020,2,2,51
159,2020,2,1,107
161,2020,2,1,3
165,2020,2,2,15
169,2020,2,2,42
170,2020,2,1,43
173,2020,2,2,6
176,2020,2,1,2
178,2020,2,1,145
180,2020,2,1,121
181,2020,2,1,114
188,2020,2,2,219
189,2020,2,1,184
190,2020,2,1,266
191,2020,2,1,110
192,2020,2,1,88
193,2020,2,2,125
194,2020,2,1,34
195,2020,2,1,14
197,2020,2,1,8
210,2020,2,2,41
212,2020,2,1,60
213,2020,2,2,83
215,2020,2,2,17
216,2020,2,2,15
217,2020,2,2,48
218,2020,2,1,41
257,2020,2,1,141
260,2020,2,2,3
263,2020,2,1,5
267,2020,2,2,1873
268,2020,2,1,328
269,2020,2,2,322
270,2020,2,1,101
271,2020,2,2,388
272,2020,2,1,174
275,2020,2,2,18
310,2020,2,1,25
312,2020,2,2,8
320,2020,2,2,153
325,2020,2,1,296
326,2020,2,2,86
327,2020,2,1,104
340,2020,2,2,293
341,2020,2,2,35
342,2020,2,2,23
347,2020,2,1,119
351,2020,2,2,33
354,2020,2,1,3
358,2020,2,1,7
361,2020,2,2,246
362,2020,2,1,58
363,2020,2,1,97
364,2020,2,1,48
365,2020,2,2,78
395,2020,2,2,111
400,2020,2,2,1
401,2020,2,2,4
403,2020,2,2,69
404,2020,2,2,3
405,2020,2,1,8
406,2020,2,1,6
412,2020,2,1,9
413,2020,2,2,2
417,2020,2,1,6
426,2020,2,1,49
427,2020,2,2,132
429,2020,2,2,72
430,2020,2,2,57
431,2020,2,2,12
432,2020,2,1,1
434,2020,2,1,37
435,2020,2,2,24
436,2020,2,2,11
438,2020,2,2,21
439,2020,2,1,29
440,2020,2,2,21
441,2020,2,2,11
442,2020,2,2,15
444,2020,2,1,39
445,2020,2,2,9
446,2020,2,1,10
448,2020,2,2,12
451,2020,2,1,5
452,2020,2,1,611
453,2020,2,2,198
454,2020,2,2,36
455,2020,2,2,36
456,2020,2,1,48
458,2020,2,1,252
460,2020,2,2,290
462,2020,2,1,168
463,2020,2,2,58
464,2020,2,2,466
465,2020,2,1,4
466,2020,2,2,129
467,2020,2,2,106
468,2020,2,2,111
469,2020,2,1,252
471,2020,2,1,39
472,2020,2,1,244
473,2020,2,1,130
474,2020,2,2,262
476,2020,2,1,10
477,2020,2,2,110
479,2020,2,2,253
481,2020,2,1,26
484,2020,2,2,406
485,2020,2,1,36
494,2020,2,1,7
507,2020,2,1,3
515,2020,2,1,15
516,2020,2,1,23
517,2020,2,2,4
519,2020,2,2,13
522,2020,2,1,86
523,2020,2,1,63
530,2020,2,2,551
531,2020,2,1,475
532,2020,2,1,212
535,2020,2,1,418
536,2020,2,2,253
537,2020,2,1,155
538,2020,2,2,298
539,2020,2,1,173
578,2020,2,1,315
677,2020,2,2,8
683,2020,2,1,94
684,2020,2,1,71
685,2020,2,2,39
687,2020,2,2,46
690,2020,2,2,133
693,2020,2,2,104
694,2020,2,1,81
696,2020,2,1,85
697,2020,2,1,65
698,2020,2,1,118
699,2020,2,2,126
700,2020,2,1,95
701,2020,2,1,134
702,2020,2,1,66
703,2020,2,1,161
706,2020,2,1,56
707,2020,2,1,48
717,2020,2,2,1
728,2020,2,1,5
731,2020,2,1,5
732,2020,2,1,6
736,2020,2,1,231
737,2020,2,2,1236
738,2020,2,1,188
739,2020,2,2,218
740,2020,2,2,371
741,2020,2,1,52
742,2020,2,1,243
744,2020,2,2,16
745,2020,2,1,28
746,2020,2,2,36
747,2020,2,1,230
748,2020,2,2,89
749,2020,2,2,158
750,2020,2,2,301
751,2020,2,2,58
753,2020,2,1,190
754,2020,2,1,96
755,2020,2,1,25
756,2020,2,2,191
759,2020,2,2,116
762,2020,2,1,259
766,2020,2,1,2
770,2020,2,1,6
775,2020,2,2,1
776,2020,2,1,5
779,2020,2,2,114
786,2020,2,1,654
788,2020,2,1,460
789,2020,2,2,1
790,2020,2,2,277
791,2020,2,1,99
794,2020,2,2,63
796,2020,2,2,16
801,2020,2,1,43
803,2020,2,1,34
805,2020,2,1,40
807,2020,2,1,37
808,2020,2,1,36
809,2020,2,1,13
810,2020,2,2,40
811,2020,2,2,35
818,2020,2,2,17
831,2020,2,2,7
834,2020,2,2,190
835,2020,2,1,236
839,2020,2,2,24
842,2020,2,1,31
852,2020,2,1,170
855,2020,2,2,112
856,2020,2,1,122
857,2020,2,1,27
870,2020,2,1,135
873,2020,2,2,31
882,2020,2,2,143
884,2020,2,2,126
885,2020,2,2,124
889,2020,2,1,54
895,2020,2,2,23
898,2020,2,2,141
902,2020,2,1,39
906,2020,2,1,274
907,2020,2,1,54
908,2020,2,1,90
913,2020,2,1,44
915,2020,2,2,100
916,2020,2,1,65
917,2020,2,1,137
918,2020,2,1,562
919,2020,2,2,216
920,2020,2,2,375
921,2020,2,1,70
925,2020,2,1,144
926,2020,2,1,109
933,2020,2,1,5
936,2020,2,2,9
937,2020,2,1,4
943,2020,2,1,54
944,2020,2,1,78
946,2020,2,1,124
947,2020,2,2,64
949,2020,2,1,294
950,2020,2,2,279
951,2020,2,1,487
952,2020,2,1,165
953,2020,2,2,454
954,2020,2,2,48
955,2020,2,1,40
956,2020,2,2,34
957,2020,2,2,26
958,2020,2,1,61
959,2020,2,1,123
960,2020,2,1,59
961,2020,2,1,260
962,2020,2,2,318
964,2020,2,1,49
965,2020,2,1,36
968,2020,2,1,154
972,2020,2,2,71
973,2020,2,2,221
974,2020,2,2,2
975,2020,2,2,2
979,2020,2,1,58
983,2020,2,2,1
984,2020,2,2,129
986,2020,2,2,1
990,2020,2,1,71
995,2020,2,2,5
998,2020,2,1,32
1001,2020,2,1,60
1002,2020,2,2,5
1007,2020,2,1,7
1008,2020,2,1,49
1009,2020,2,1,24
1010,2020,2,1,18
1012,2020,2,1,19
1018,2020,2,1,8
1020,2020,2,1,2
1021,2020,2,1,1
1025,2020,2,1,1
1027,2020,2,1,70
1028,2020,2,2,10
1029,2020,2,1,15
1030,2020,2,1,9
1033,2020,2,1,17
1036,2020,2,1,18
1037,2020,2,2,10
1039,2020,2,1,69
1040,2020,2,2,109
1041,2020,2,1,2
1042,2020,2,1,32
1043,2020,2,1,7
1044,2020,2,1,47
1046,2020,2,1,21
1047,2020,2,1,11
1053,2020,2,2,2
1054,2020,2,1,8
1056,2020,2,2,19
1060,2020,2,1,2
1063,2020,2,2,40
1079,2020,2,1,31
1080,2020,2,1,88
1081,2020,2,1,43
1082,2020,2,2,2
1083,2020,2,2,30
1084,2020,2,1,77
1085,2020,2,2,30
1086,2020,2,1,53
1087,2020,2,1,94
1088,2020,2,1,38
1091,2020,2,1,26
1092,2020,2,2,5
1094,2020,2,2,7
1096,2020,2,1,5
1097,2020,2,2,25
1098,2020,2,1,33
1099,2020,2,2,9
1101,2020,2,1,8
1102,2020,2,1,9
1103,2020,2,1,26
1104,2020,2,1,21
1110,2020,2,2,91
1111,2020,2,2,31
1112,2020,2,1,295
1113,2020,2,1,60
1114,2020,2,1,137
1115,2020,2,2,89
1116,2020,2,1,39
1117,2020,2,1,16
1120,2020,2,2,78
1121,2020,2,2,33
1125,2020,2,1,101
1126,2020,2,1,62
1130,2020,2,2,32
1138,2020,2,2,48
1143,2020,2,1,64
1144,2020,2,1,35
1146,2020,2,2,38
1147,2020,2,1,22
1148,2020,2,2,14
1149,2020,2,1,4
1151,2020,2,1,19
1152,2020,2,2,14
1155,2020,2,2,12
1156,2020,2,2,17
1158,2020,2,1,29
1166,2020,2,2,10
1169,2020,2,1,41
1170,2020,2,2,64
1172,2020,2,2,17
1173,2020,2,2,42
1175,2020,2,2,57
1176,2020,2,2,38
1178,2020,2,2,45
1179,2020,2,2,30
1180,2020,2,1,19
1192,2020,2,1,47
1193,2020,2,2,38
1195,2020,2,1,69
1196,2020,2,2,47
1197,2020,2,2,20
1199,2020,2,2,9
1200,2020,2,1,24
1201,2020,2,1,8
1202,2020,2,2,19
1203,2020,2,2,28
1205,2020,2,2,111
1206,2020,2,1,11
1207,2020,2,2,69
1208,2020,2,1,50
1210,2020,2,1,139
1211,2020,2,1,68
1212,2020,2,2,114
1213,2020,2,2,70
1214,2020,2,2,93
1217,2020,2,2,12
1218,2020,2,1,8
1219,2020,2,1,5
1220,2020,2,1,18
1224,2020,2,1,30
1227,2020,2,1,1
1228,2020,2,1,5
1229,2020,2,1,9
1236,2020,2,2,59
1237,2020,2,2,171
1238,2020,2,2,168
1239,2020,2,2,175
1240,2020,2,1,202
1241,2020,2,1,17
1242,2020,2,1,13
1244,2020,2,2,141
1245,2020,2,1,210
1246,2020,2,2,12
1247,2020,2,1,52
1248,2020,2,2,54
1249,2020,2,2,20
1250,2020,2,2,29
1252,2020,2,1,72
1254,2020,2,2,36
1256,2020,2,1,22
1261,2020,2,1,10
1263,2020,2,1,2
1264,2020,2,2,15
1265,2020,2,1,65
1266,2020,2,1,5
1267,2020,2,1,37
1268,2020,2,1,47
1269,2020,2,2,325
1270,2020,2,2,104
1271,2020,2,1,106
1272,2020,2,1,137
1273,2020,2,1,50
1275,2020,2,2,14
1276,2020,2,2,107
1277,2020,2,2,32
1279,2020,2,2,123
1280,2020,2,2,74
1283,2020,2,2,32
1284,2020,2,2,9
1285,2020,2,2,15
1291,2020,2,2,24
1293,2020,2,2,84
1294,2020,2,2,15
1295,2020,2,1,575
1296,2020,2,1,19
1297,2020,2,1,335
1298,2020,2,1,87
1299,2020,2,2,100
1300,2020,2,1,14
1301,2020,2,2,75
1302,2020,2,1,5
1303,2020,2,1,90
1305,2020,2,1,42
1307,2020,2,2,168
1308,2020,2,1,1
1309,2020,2,2,33
1310,2020,2,2,31
1312,2020,2,2,3
1315,2020,2,2,79
1316,2020,2,1,44
1317,2020,2,1,62
1318,2020,2,1,54
1319,2020,2,1,1
1323,2020,2,1,97
1325,2020,2,2,36
1326,2020,2,1,22
1328,2020,2,1,33
1330,2020,2,2,39
1332,2020,2,2,25
1335,2020,2,1,17
1336,2020,2,2,39
1337,2020,2,2,61
1338,2020,2,1,79
1339,2020,2,1,134
1347,2020,2,2,24
1348,2020,2,1,17
1349,2020,2,1,30
1350,2020,2,1,105
1361,2020,2,2,29
1365,2020,2,2,6
1371,2020,2,1,1
1372,2020,2,1,2
1380,2020,2,1,57
1381,2020,2,2,177
1385,2020,2,1,14
1386,2020,2,2,101
1387,2020,2,1,24
1394,2020,2,2,156
1395,2020,2,1,25
1396,2020,2,1,27
1402,2020,2,1,20
1403,2020,2,1,27
1409,2020,2,2,20
1413,2020,2,2,99
1415,2020,2,2,10
1422,2020,2,1,194
1426,2020,2,1,77
1430,2020,2,2,68
1431,2020,2,1,14
1432,2020,2,1,3
1433,2020,2,1,159
1434,2020,2,1,11
1435,2020,2,2,1
1439,2020,2,1,40
1441,2020,2,2,60
1442,2020,2,1,32
1444,2020,2,1,33
1445,2020,2,1,24
1446,2020,2,1,59
1447,2020,2,1,9
1448,2020,2,2,22
1450,2020,2,1,19
1451,2020,2,2,97
1455,2020,2,1,20
1464,2020,2,1,15
1466,2020,2,2,46
1475,2020,2,1,229
1476,2020,2,2,55
1477,2020,2,1,39
1483,2020,2,2,372
1485,2020,2,1,34
1487,2020,2,1,88
1488,2020,2,1,72
1489,2020,2,1,96
1490,2020,2,1,74
1491,2020,2,2,14
1492,2020,2,2,242
1493,2020,2,1,121
1494,2020,2,2,76
1496,2020,2,1,55
1497,2020,2,1,197
1498,2020,2,1,110
1499,2020,2,2,104
1503,2020,2,2,74
1504,2020,2,2,4
1512,2020,2,1,75
1513,2020,2,1,7
1514,2020,2,2,24
1516,2020,2,1,39
1519,2020,2,1,15
1520,2020,2,2,14
1527,2020,2,2,124
1529,2020,2,1,113
1531,2020,2,1,69
1532,2020,2,2,242
1533,2020,2,1,490
1534,2020,2,2,186
1535,2020,2,1,478
1536,2020,2,1,693
1537,2020,2,1,50
1539,2020,2,2,186
1540,2020,2,1,205
1541,2020,2,1,40
1542,2020,2,2,405
1543,2020,2,2,168
1544,2020,2,1,317
1545,2020,2,2,106
1546,2020,2,2,124
1547,2020,2,1,59
1548,2020,2,1,109
1550,2020,2,2,64
1551,2020,2,2,22
1552,2020,2,2,33
1555,2020,2,1,44
1561,2020,2,1,50
1568,2020,2,1,9
1573,2020,2,2,28
1574,2020,2,2,89
1575,2020,2,1,241
1576,2020,2,1,47
1578,2020,2,1,154
1579,2020,2,1,24
1580,2020,2,2,20
1581,2020,2,1,48
1582,2020,2,2,27
1585,2020,2,1,21
1587,2020,2,2,8
1591,2020,2,1,17
1592,2020,2,2,55
1595,2020,2,1,14
1596,2020,2,1,29
1597,2020,2,1,23
1598,2020,2,1,84
1599,2020,2,2,11
1605,2020,2,1,17
1606,2020,2,1,9
1614,2020,2,2,15
1621,2020,2,2,12
1622,2020,2,1,6
1626,2020,2,2,11
1627,2020,2,1,14
1628,2020,2,1,16
1630,2020,2,2,23
1635,2020,2,1,22
1636,2020,2,1,13
1640,2020,2,1,42
1641,2020,2,1,32
1642,2020,2,2,10
1643,2020,2,2,14
1644,2020,2,1,3
1645,2020,2,1,8
1646,2020,2,1,7
1647,2020,2,2,11
1649,2020,2,2,5
1654,2020,2,1,223
1655,2020,2,1,104
1667,2020,2,1,186
1668,2020,2,1,131
1676,2020,2,1,544
1677,2020,2,1,3
1678,2020,2,2,2
1679,2020,2,1,6
1680,2020,2,2,4
1681,2020,2,2,3
1682,2020,2,1,8
1683,2020,2,2,3
1687,2020,2,1,4
1688,2020,2,1,25
1689,2020,2,1,11
1697,2020,2,2,24
1698,2020,2,2,57
1703,2020,2,1,50
1706,2020,2,1,183
1708,2020,2,1,197
1711,2020,2,2,33
1713,2020,2,1,7
1715,2020,2,1,22
1716,2020,2,2,1
1717,2020,2,1,84
1718,2020,2,2,388
1719,2020,2,2,205
1724,2020,2,1,42
1725,2020,2,2,383
1736,2020,2,2,48
1737,2020,2,1,24
1738,2020,2,1,49
1739,2020,2,1,45
1741,2020,2,2,46
1742,2020,2,1,36
1743,2020,2,2,44
1749,2020,2,2,50
1751,2020,2,1,51
1752,2020,2,1,31
1755,2020,2,1,70
1762,2020,2,1,148
1764,2020,2,1,28
1765,2020,2,1,177
1766,2020,2,1,12
1767,2020,2,1,48
1768,2020,2,1,57
1769,2020,2,1,216
1770,2020,2,2,454
1771,2020,2,2,5
