codigo snies del programa,año,semestre,total
1.0,2000,1,94.0
2.0,2000,1,54.0
3.0,2000,1,50.0
4.0,2000,1,28.0
5.0,2000,1,55.0
6.0,2000,1,19.0
7.0,2000,1,94.0
8.0,2000,1,0.0
9.0,2000,1,157.0
10.0,2000,1,41.0
11.0,2000,1,74.0
12.0,2000,1,45.0
13.0,2000,1,54.0
14.0,2000,1,71.0
15.0,2000,1,40.0
16.0,2000,1,46.0
17.0,2000,1,89.0
18.0,2000,1,93.0
19.0,2000,1,91.0
20.0,2000,1,29.0
21.0,2000,1,10.0
22.0,2000,1,16.0
23.0,2000,1,140.0
24.0,2000,1,72.0
25.0,2000,1,113.0
26.0,2000,1,99.0
27.0,2000,1,73.0
28.0,2000,1,106.0
29.0,2000,1,84.0
30.0,2000,1,78.0
31.0,2000,1,55.0
32.0,2000,1,49.0
33.0,2000,1,68.0
34.0,2000,1,48.0
35.0,2000,1,69.0
36.0,2000,1,57.0
37.0,2000,1,66.0
38.0,2000,1,0.0
39.0,2000,1,0.0
40.0,2000,1,0.0
41.0,2000,1,0.0
42.0,2000,1,0.0
44.0,2000,1,0.0
45.0,2000,1,0.0
46.0,2000,1,0.0
47.0,2000,1,0.0
48.0,2000,1,0.0
49.0,2000,1,0.0
50.0,2000,1,0.0
51.0,2000,1,0.0
52.0,2000,1,0.0
53.0,2000,1,0.0
55.0,2000,1,0.0
57.0,2000,1,0.0
58.0,2000,1,0.0
59.0,2000,1,0.0
60.0,2000,1,0.0
61.0,2000,1,0.0
62.0,2000,1,0.0
63.0,2000,1,0.0
64.0,2000,1,0.0
65.0,2000,1,0.0
66.0,2000,1,0.0
67.0,2000,1,0.0
69.0,2000,1,0.0
70.0,2000,1,0.0
71.0,2000,1,0.0
75.0,2000,1,0.0
77.0,2000,1,0.0
79.0,2000,1,0.0
80.0,2000,1,0.0
82.0,2000,1,0.0
85.0,2000,1,0.0
86.0,2000,1,0.0
87.0,2000,1,0.0
88.0,2000,1,0.0
89.0,2000,1,0.0
90.0,2000,1,0.0
91.0,2000,1,0.0
92.0,2000,1,0.0
93.0,2000,1,0.0
94.0,2000,1,0.0
95.0,2000,1,0.0
96.0,2000,1,0.0
97.0,2000,1,0.0
98.0,2000,1,0.0
99.0,2000,1,0.0
100.0,2000,1,0.0
101.0,2000,1,0.0
102.0,2000,1,0.0
103.0,2000,1,0.0
104.0,2000,1,0.0
105.0,2000,1,0.0
106.0,2000,1,0.0
107.0,2000,1,0.0
108.0,2000,1,0.0
109.0,2000,1,0.0
110.0,2000,1,0.0
111.0,2000,1,0.0
112.0,2000,1,0.0
2449.0,2000,1,0.0
2497.0,2000,1,33.0
2602.0,2000,1,0.0
2603.0,2000,1,0.0
2604.0,2000,1,0.0
2605.0,2000,1,0.0
2606.0,2000,1,0.0
3100.0,2000,1,27.0
3101.0,2000,1,0.0
3102.0,2000,1,43.0
3103.0,2000,1,10.0
3140.0,2000,1,78.0
3909.0,2000,1,0.0
3992.0,2000,1,0.0
4063.0,2000,1,0.0
16884.0,2000,1,0.0
16885.0,2000,1,0.0
16886.0,2000,1,0.0
16887.0,2000,1,0.0
16888.0,2000,1,0.0
16889.0,2000,1,0.0
16890.0,2000,1,0.0
16891.0,2000,1,0.0
16892.0,2000,1,0.0
16895.0,2000,1,0.0
16938.0,2000,1,0.0
16939.0,2000,1,0.0
16940.0,2000,1,0.0
16941.0,2000,1,0.0
16943.0,2000,1,0.0
16944.0,2000,1,0.0
16945.0,2000,1,0.0
16946.0,2000,1,0.0
16947.0,2000,1,0.0
16948.0,2000,1,0.0
16949.0,2000,1,0.0
16950.0,2000,1,0.0
16951.0,2000,1,0.0
16952.0,2000,1,0.0
16953.0,2000,1,0.0
16954.0,2000,1,0.0
16955.0,2000,1,0.0
16956.0,2000,1,0.0
17906.0,2000,1,0.0
19892.0,2000,1,0.0
19893.0,2000,1,0.0
19894.0,2000,1,0.0
19895.0,2000,1,0.0
19896.0,2000,1,0.0
