año,codigo snies del programa,id genero,matriculados primer,semestre
2016,1,1,71,1
2016,2,2,48,1
2016,3,2,37,1
2016,4,1,33,1
2016,5,1,48,1
2016,6,2,29,1
2016,7,2,60,1
2016,8,1,2,1
2016,9,1,123,1
2016,10,1,45,1
2016,11,2,44,1
2016,12,2,40,1
2016,13,2,46,1
2016,14,1,74,1
2016,15,2,47,1
2016,16,2,59,1
2016,17,2,64,1
2016,18,2,80,1
2016,19,1,80,1
2016,20,1,46,1
2016,21,2,51,1
2016,22,2,36,1
2016,23,1,75,1
2016,24,1,58,1
2016,25,2,103,1
2016,26,2,91,1
2016,27,1,60,1
2016,28,2,74,1
2016,29,2,108,1
2016,30,2,70,1
2016,31,1,58,1
2016,32,1,54,1
2016,33,1,69,1
2016,34,1,36,1
2016,35,2,47,1
2016,36,2,65,1
2016,37,2,69,1
2016,38,1,6,1
2016,39,2,3,1
2016,40,1,2,1
2016,41,1,3,1
2016,45,1,2,1
2016,46,1,11,1
2016,47,1,6,1
2016,48,1,7,1
2016,49,1,2,1
2016,50,1,2,1
2016,51,2,7,1
2016,52,1,5,1
2016,53,1,3,1
2016,55,1,13,1
2016,57,2,5,1
2016,58,1,4,1
2016,59,1,3,1
2016,60,1,3,1
2016,61,2,2,1
2016,63,2,7,1
2016,64,1,5,1
2016,66,2,2,1
2016,67,2,3,1
2016,69,2,23,1
2016,70,2,125,1
2016,71,2,21,1
2016,79,1,4,1
2016,85,2,29,1
2016,86,1,9,1
2016,87,2,4,1
2016,88,1,18,1
2016,89,1,43,1
2016,90,1,24,1
2016,92,2,11,1
2016,95,1,2,1
2016,96,1,14,1
2016,97,2,2,1
2016,98,2,11,1
2016,99,1,3,1
2016,100,1,1,1
2016,103,2,24,1
2016,104,1,22,1
2016,105,2,17,1
2016,106,2,23,1
2016,107,1,12,1
2016,108,2,6,1
2016,109,1,5,1
2016,110,1,3,1
2016,111,1,3,1
2016,112,1,5,1
2016,113,1,43,1
2016,114,2,52,1
2016,115,1,48,1
2016,116,2,70,1
2016,117,2,130,1
2016,118,1,81,1
2016,119,2,64,1
2016,120,2,84,1
2016,121,2,64,1
2016,122,1,112,1
2016,123,2,96,1
2016,124,1,91,1
2016,125,1,86,1
2016,126,1,78,1
2016,127,1,86,1
2016,128,1,50,1
2016,129,2,61,1
2016,131,1,13,1
2016,132,1,10,1
2016,134,1,26,1
2016,135,2,2,1
2016,136,1,10,1
2016,137,2,6,1
2016,139,1,11,1
2016,140,2,17,1
2016,141,1,8,1
2016,142,2,7,1
2016,143,1,81,1
2016,144,1,56,1
2016,146,2,52,1
2016,147,1,32,1
2016,149,2,84,1
2016,150,1,49,1
2016,151,1,95,1
2016,153,2,52,1
2016,154,2,48,1
2016,155,1,33,1
2016,156,2,40,1
2016,157,1,71,1
2016,158,1,57,1
2016,159,2,59,1
2016,161,2,19,1
2016,162,1,6,1
2016,169,1,115,1
2016,170,1,21,1
2016,172,2,22,1
