año,codigo snies del programa,id genero,matriculados,semestre
2015,1,2,637,1
2015,2,2,552,1
2015,3,1,391,1
2015,4,2,291,1
2015,5,1,484,1
2015,6,2,268,1
2015,7,2,627,1
2015,8,1,213,1
2015,9,1,1437,1
2015,10,2,374,1
2015,11,2,559,1
2015,12,2,166,1
2015,13,1,462,1
2015,14,2,781,1
2015,15,1,419,1
2015,16,2,487,1
2015,17,1,803,1
2015,18,2,799,1
2015,19,2,652,1
2015,20,2,311,1
2015,21,2,216,1
2015,22,2,218,1
2015,23,2,641,1
2015,24,2,417,1
2015,25,1,1155,1
2015,26,2,789,1
2015,27,2,626,1
2015,28,2,775,1
2015,29,1,1217,1
2015,30,2,662,1
2015,31,1,601,1
2015,32,2,379,1
2015,33,1,446,1
2015,34,1,455,1
2015,35,2,278,1
2015,36,2,410,1
2015,37,2,741,1
2015,38,2,22,1
2015,39,2,10,1
2015,40,2,6,1
2015,41,2,10,1
2015,45,1,4,1
2015,46,2,27,1
2015,47,2,19,1
2015,48,1,29,1
2015,49,1,8,1
2015,50,1,6,1
2015,51,2,20,1
2015,52,2,16,1
2015,53,2,10,1
2015,55,2,39,1
2015,57,1,20,1
2015,58,1,16,1
2015,59,1,5,1
2015,60,1,5,1
2015,61,2,7,1
2015,63,2,6,1
2015,64,2,13,1
2015,66,2,5,1
2015,67,1,12,1
2015,69,2,62,1
2015,70,1,187,1
2015,71,1,44,1
2015,79,1,19,1
2015,80,2,15,1
2015,86,1,54,1
2015,87,2,21,1
2015,88,1,43,1
2015,89,2,94,1
2015,90,2,48,1
2015,91,1,33,1
2015,92,1,50,1
2015,93,2,21,1
2015,95,1,45,1
2015,96,2,45,1
2015,97,2,15,1
2015,98,1,34,1
2015,99,1,37,1
2015,100,1,48,1
2015,101,1,27,1
2015,103,2,37,1
2015,104,2,101,1
2015,105,2,127,1
2015,106,1,59,1
2015,107,2,43,1
2015,108,2,69,1
2015,109,2,34,1
2015,110,1,30,1
2015,111,2,49,1
2015,112,1,39,1
2015,113,1,298,1
2015,114,2,289,1
2015,115,2,235,1
2015,116,1,293,1
2015,117,1,853,1
2015,118,1,426,1
2015,119,2,492,1
2015,120,2,391,1
2015,121,1,641,1
2015,122,2,538,1
2015,123,2,561,1
2015,124,2,472,1
2015,125,2,636,1
2015,126,1,459,1
2015,127,2,595,1
2015,128,1,293,1
2015,129,1,144,1
2015,132,2,19,1
2015,134,1,19,1
2015,135,2,28,1
2015,136,1,59,1
2015,137,1,45,1
2015,139,2,58,1
2015,140,2,33,1
2015,141,1,16,1
2015,142,2,31,1
2015,143,2,318,1
2015,144,1,289,1
2015,146,1,489,1
2015,147,2,343,1
2015,149,2,530,1
2015,150,2,563,1
2015,151,1,732,1
2015,153,2,509,1
2015,154,2,483,1
2015,155,1,260,1
2015,156,2,345,1
2015,157,2,346,1
2015,158,1,428,1
2015,159,2,538,1
2015,161,1,20,1
2015,165,2,29,1
2015,170,1,121,1
2015,172,1,58,1
2015,173,2,64,1
2015,174,1,3,1
2015,175,1,192,1
2015,176,2,200,1
2015,177,1,371,1
2015,178,2,416,1
2015,180,1,476,1
2015,181,1,412,1
2015,182,2,475,1
2015,187,2,3,1
2015,188,1,209,1
2015,189,2,830,1
2015,190,2,915,1
2015,191,1,587,1
2015,192,2,525,1
2015,193,2,523,1
2015,194,2,12,1
2015,195,1,91,1
2015,197,1,65,1
2015,204,1,46,1
2015,205,2,38,1
2015,207,2,46,1
2015,210,1,384,1
2015,212,1,540,1
2015,213,2,492,1
2015,215,2,413,1
2015,216,2,347,1
2015,217,2,500,1
2015,218,2,465,1
2015,219,1,119,1
2015,222,1,64,1
2015,223,2,97,1
2015,224,1,227,1
2015,225,2,102,1
2015,229,2,227,1
2015,230,2,398,1
2015,232,2,257,1
2015,233,1,1768,1
2015,234,1,529,1
2015,235,1,602,1
2015,236,1,827,1
2015,238,2,655,1
2015,243,1,1,1
2015,245,2,69,1
2015,252,1,22,1
2015,256,2,12,1
2015,257,2,630,1
2015,258,1,520,1
2015,260,2,341,1
2015,262,2,4,1
2015,263,2,410,1
2015,265,2,2,1
2015,266,2,220,1
2015,267,1,749,1
2015,268,1,712,1
2015,269,1,1031,1
2015,270,2,1001,1
2015,272,2,920,1
2015,273,2,792,1
2015,275,2,72,1
2015,276,2,87,1
2015,278,1,19,1
2015,279,1,47,1
2015,281,1,528,1
2015,282,2,191,1
2015,283,2,292,1
2015,284,2,185,1
2015,288,2,506,1
2015,289,2,327,1
2015,290,2,489,1
2015,291,2,626,1
2015,292,1,536,1
2015,293,2,286,1
2015,294,2,595,1
2015,295,2,104,1
2015,296,1,579,1
2015,297,2,9,1
2015,298,2,8,1
2015,300,2,2,1
2015,302,2,9,1
2015,303,2,10,1
2015,305,1,5,1
2015,306,2,8,1
2015,308,2,12,1
2015,310,1,23,1
2015,311,1,11,1
2015,312,1,10,1
2015,314,1,11,1
2015,316,2,6,1
2015,320,1,608,1
2015,321,2,401,1
2015,325,2,389,1
2015,326,2,567,1
2015,327,2,731,1
2015,332,2,28,1
2015,337,1,327,1
2015,338,2,524,1
2015,340,1,209,1
2015,341,1,282,1
2015,342,2,450,1
2015,343,2,82,1
2015,344,1,22,1
2015,347,2,557,1
2015,351,2,286,1
2015,352,1,624,1
2015,354,1,39,1
2015,356,1,18,1
2015,358,1,56,1
2015,361,2,1710,1
2015,362,2,435,1
2015,363,2,497,1
2015,364,2,905,1
2015,365,2,1254,1
2015,366,1,24,1
2015,367,2,3,1
2015,368,2,26,1
2015,369,2,4,1
2015,370,1,7,1
2015,371,1,4,1
2015,372,1,25,1
2015,374,2,9,1
2015,375,2,38,1
2015,376,1,3,1
2015,378,2,7,1
2015,379,2,10,1
2015,380,2,8,1
2015,382,1,27,1
2015,383,1,19,1
2015,384,2,9,1
2015,385,2,37,1
2015,386,2,10,1
2015,387,2,9,1
2015,388,1,10,1
2015,389,1,5,1
2015,390,1,11,1
2015,391,1,8,1
2015,394,2,7,1
2015,395,1,53,1
2015,399,1,4,1
2015,400,2,84,1
2015,401,2,484,1
2015,403,1,539,1
2015,404,2,446,1
2015,405,1,298,1
2015,407,2,40,1
2015,408,2,177,1
2015,409,2,4,1
2015,412,1,322,1
2015,413,1,640,1
2015,417,2,160,1
2015,420,2,279,1
2015,426,1,487,1
2015,427,2,512,1
2015,429,2,585,1
2015,430,2,558,1
2015,431,2,440,1
2015,432,1,235,1
2015,433,1,1,1
2015,434,1,634,1
2015,435,2,521,1
2015,436,2,397,1
2015,437,1,1143,1
2015,438,1,657,1
2015,439,2,797,1
2015,440,2,764,1
2015,441,1,305,1
2015,442,1,326,1
2015,444,1,589,1
2015,445,2,580,1
2015,446,2,599,1
2015,448,2,622,1
2015,450,1,698,1
2015,451,2,510,1
2015,452,1,559,1
2015,453,2,245,1
2015,454,1,238,1
2015,455,2,323,1
2015,456,2,701,1
2015,458,2,13,1
2015,460,2,3,1
2015,462,2,6,1
2015,463,2,3,1
2015,464,1,12,1
2015,466,1,8,1
2015,467,2,6,1
2015,468,2,3,1
2015,469,1,6,1
2015,470,1,7,1
2015,471,2,4,1
2015,472,2,12,1
2015,473,1,6,1
2015,474,2,5,1
2015,477,2,4,1
2015,478,2,44,1
2015,479,1,5,1
2015,481,2,16,1
2015,482,2,5,1
2015,484,2,7,1
2015,485,2,3,1
2015,494,1,51,1
2015,503,1,18,1
2015,504,2,22,1
2015,507,2,18,1
2015,510,1,11,1
2015,511,2,28,1
2015,512,1,1,1
2015,513,1,11,1
2015,515,1,27,1
2015,516,2,52,1
2015,517,2,27,1
2015,519,1,50,1
2015,521,1,26,1
2015,522,2,183,1
2015,523,2,320,1
2015,530,1,544,1
2015,532,2,624,1
2015,535,1,1109,1
2015,536,2,925,1
2015,537,1,888,1
2015,538,2,827,1
2015,539,2,282,1
2015,540,1,863,1
2015,541,1,1,1
2015,549,1,187,1
2015,551,2,164,1
2015,555,2,243,1
2015,557,1,230,1
2015,559,1,278,1
2015,565,1,114,1
2015,566,2,175,1
2015,568,2,154,1
2015,569,2,162,1
2015,570,2,681,1
2015,571,1,194,1
2015,572,2,184,1
2015,573,1,252,1
2015,574,2,378,1
2015,575,2,252,1
2015,576,2,172,1
2015,577,1,212,1
2015,578,2,92,1
2015,579,1,422,1
2015,580,1,519,1
2015,581,2,567,1
2015,582,2,220,1
2015,583,2,275,1
2015,584,2,294,1
2015,585,1,270,1
2015,586,2,292,1
2015,587,2,360,1
2015,588,2,273,1
2015,589,2,283,1
2015,590,2,5,1
2015,591,2,371,1
2015,592,2,292,1
2015,593,1,268,1
2015,594,1,121,1
2015,595,1,138,1
2015,596,2,304,1
2015,599,2,18,1
2015,600,1,4,1
2015,601,2,16,1
2015,602,2,12,1
2015,603,1,20,1
2015,604,2,8,1
2015,605,1,18,1
2015,606,1,6,1
