codigo_snies_del_programa,año,semestre,total,nivel_academico
1,2007.0,1,72.0,Pregrado
1,2009.0,1,103.0,Pregrado
1,2010.0,2,90.0,Pregrado
1,2008.0,2,85.0,Pregrado
1,2011.0,1,94.0,Pregrado
1,2010.0,1,92.0,Pregrado
1,2013.0,2,77.0,Pregrado
1,2008.0,1,92.0,Pregrado
1,2009.0,2,91.0,Pregrado
1,2011.0,2,135.0,Pregrado
1,2007.0,2,86.0,Pregrado
1,2012.0,2,145.0,Pregrado
1,2012.0,1,150.0,Pregrado
1,2013.0,1,179.0,Pregrado
2,2010.0,2,50.0,Pregrado
2,2007.0,1,52.0,Pregrado
2,2009.0,2,50.0,Pregrado
2,2008.0,2,51.0,Pregrado
2,2011.0,1,51.0,Pregrado
2,2008.0,1,50.0,Pregrado
2,2010.0,1,51.0,Pregrado
2,2007.0,2,52.0,Pregrado
2,2013.0,2,49.0,Pregrado
2,2011.0,2,50.0,Pregrado
2,2009.0,1,52.0,Pregrado
2,2012.0,1,52.0,Pregrado
2,2013.0,1,52.0,Pregrado
3,2009.0,2,50.0,Pregrado
3,2008.0,1,53.0,Pregrado
3,2009.0,1,53.0,Pregrado
3,2013.0,2,43.0,Pregrado
3,2010.0,1,55.0,Pregrado
3,2011.0,1,67.0,Pregrado
3,2008.0,2,51.0,Pregrado
3,2007.0,1,52.0,Pregrado
3,2010.0,2,63.0,Pregrado
3,2011.0,2,53.0,Pregrado
3,2012.0,1,55.0,Pregrado
3,2013.0,1,57.0,Pregrado
3,2012.0,2,53.0,Pregrado
3,2007.0,2,49.0,Pregrado
4,2010.0,2,29.0,Pregrado
4,2012.0,1,30.0,Pregrado
4,2008.0,2,26.0,Pregrado
4,2012.0,2,29.0,Pregrado
4,2007.0,1,29.0,Pregrado
4,2011.0,1,31.0,Pregrado
4,2010.0,1,30.0,Pregrado
4,2011.0,2,29.0,Pregrado
4,2013.0,2,29.0,Pregrado
4,2013.0,1,32.0,Pregrado
4,2007.0,2,25.0,Pregrado
4,2009.0,2,26.0,Pregrado
4,2008.0,1,24.0,Pregrado
4,2009.0,1,27.0,Pregrado
5,2008.0,1,48.0,Pregrado
5,2010.0,2,62.0,Pregrado
5,2008.0,2,49.0,Pregrado
5,2009.0,2,49.0,Pregrado
5,2012.0,2,49.0,Pregrado
5,2007.0,1,44.0,Pregrado
5,2011.0,1,64.0,Pregrado
5,2012.0,1,53.0,Pregrado
5,2013.0,2,47.0,Pregrado
5,2010.0,1,62.0,Pregrado
5,2011.0,2,52.0,Pregrado
5,2007.0,2,49.0,Pregrado
5,2009.0,1,47.0,Pregrado
5,2013.0,1,55.0,Pregrado
6,2012.0,2,30.0,Pregrado
6,2011.0,2,30.0,Pregrado
6,2011.0,1,31.0,Pregrado
6,2009.0,2,22.0,Pregrado
6,2010.0,1,28.0,Pregrado
6,2009.0,1,23.0,Pregrado
6,2008.0,2,18.0,Pregrado
6,2013.0,1,31.0,Pregrado
6,2007.0,1,21.0,Pregrado
6,2010.0,2,29.0,Pregrado
6,2008.0,1,24.0,Pregrado
6,2007.0,2,27.0,Pregrado
6,2013.0,2,25.0,Pregrado
6,2012.0,1,29.0,Pregrado
7,2009.0,2,91.0,Pregrado
7,2008.0,1,86.0,Pregrado
7,2010.0,2,84.0,Pregrado
7,2008.0,2,85.0,Pregrado
7,2009.0,1,87.0,Pregrado
7,2012.0,2,86.0,Pregrado
7,2007.0,2,82.0,Pregrado
7,2011.0,1,93.0,Pregrado
7,2010.0,1,86.0,Pregrado
7,2011.0,2,89.0,Pregrado
7,2007.0,1,114.0,Pregrado
7,2012.0,1,93.0,Pregrado
7,2013.0,1,94.0,Pregrado
7,2013.0,2,78.0,Pregrado
8,2012.0,2,59.0,Pregrado
8,2008.0,2,54.0,Pregrado
8,2009.0,2,58.0,Pregrado
8,2010.0,2,46.0,Pregrado
8,2011.0,2,51.0,Pregrado
8,2007.0,2,50.0,Pregrado
8,2013.0,2,37.0,Pregrado
9,2013.0,1,142.0,Pregrado
9,2008.0,2,140.0,Pregrado
9,2011.0,1,135.0,Pregrado
9,2008.0,1,141.0,Pregrado
9,2012.0,1,135.0,Pregrado
9,2011.0,2,138.0,Pregrado
9,2007.0,2,141.0,Pregrado
9,2010.0,2,135.0,Pregrado
9,2009.0,1,144.0,Pregrado
9,2013.0,1,68.0,Pregrado
9,2013.0,2,123.0,Pregrado
9,2007.0,1,140.0,Pregrado
9,2010.0,1,148.0,Pregrado
9,2009.0,2,145.0,Pregrado
10,2012.0,1,51.0,Pregrado
10,2011.0,1,48.0,Pregrado
10,2008.0,1,43.0,Pregrado
10,2007.0,2,44.0,Pregrado
10,2009.0,2,49.0,Pregrado
10,2008.0,2,46.0,Pregrado
10,2010.0,1,45.0,Pregrado
10,2012.0,2,51.0,Pregrado
10,2011.0,2,49.0,Pregrado
10,2013.0,1,55.0,Pregrado
10,2013.0,2,48.0,Pregrado
10,2007.0,1,34.0,Pregrado
10,2009.0,1,44.0,Pregrado
10,2010.0,2,43.0,Pregrado
11,2011.0,2,64.0,Pregrado
11,2007.0,1,57.0,Pregrado
11,2010.0,1,58.0,Pregrado
11,2008.0,2,55.0,Pregrado
11,2009.0,2,57.0,Pregrado
11,2011.0,1,61.0,Pregrado
11,2007.0,2,57.0,Pregrado
11,2008.0,1,57.0,Pregrado
11,2012.0,2,53.0,Pregrado
11,2013.0,1,57.0,Pregrado
11,2013.0,2,50.0,Pregrado
11,2009.0,1,54.0,Pregrado
11,2010.0,2,57.0,Pregrado
11,2012.0,1,54.0,Pregrado
12,2010.0,1,46.0,Pregrado
12,2011.0,1,51.0,Pregrado
12,2008.0,1,49.0,Pregrado
12,2013.0,1,70.0,Pregrado
12,2007.0,1,51.0,Pregrado
12,2009.0,1,50.0,Pregrado
12,2012.0,1,53.0,Pregrado
13,2012.0,1,54.0,Pregrado
13,2013.0,2,43.0,Pregrado
13,2013.0,1,49.0,Pregrado
13,2012.0,2,59.0,Pregrado
13,2009.0,1,64.0,Pregrado
13,2008.0,1,56.0,Pregrado
13,2007.0,2,53.0,Pregrado
13,2010.0,2,74.0,Pregrado
13,2010.0,1,66.0,Pregrado
13,2009.0,2,57.0,Pregrado
13,2007.0,1,54.0,Pregrado
13,2011.0,2,53.0,Pregrado
13,2011.0,1,77.0,Pregrado
13,2008.0,2,51.0,Pregrado
14,2011.0,2,90.0,Pregrado
14,2013.0,2,86.0,Pregrado
14,2012.0,1,92.0,Pregrado
14,2009.0,1,112.0,Pregrado
14,2013.0,1,92.0,Pregrado
14,2012.0,2,90.0,Pregrado
14,2008.0,1,90.0,Pregrado
14,2011.0,1,94.0,Pregrado
14,2009.0,2,90.0,Pregrado
14,2010.0,2,93.0,Pregrado
14,2010.0,1,92.0,Pregrado
14,2007.0,2,82.0,Pregrado
14,2008.0,2,78.0,Pregrado
14,2007.0,1,85.0,Pregrado
15,2009.0,2,43.0,Pregrado
15,2012.0,1,53.0,Pregrado
15,2010.0,1,45.0,Pregrado
15,2012.0,2,51.0,Pregrado
15,2009.0,1,43.0,Pregrado
15,2007.0,2,43.0,Pregrado
15,2011.0,1,48.0,Pregrado
15,2008.0,2,42.0,Pregrado
15,2008.0,1,44.0,Pregrado
15,2013.0,1,50.0,Pregrado
15,2011.0,2,47.0,Pregrado
15,2013.0,2,42.0,Pregrado
15,2007.0,1,35.0,Pregrado
15,2010.0,2,46.0,Pregrado
16,2013.0,1,60.0,Pregrado
16,2013.0,2,53.0,Pregrado
16,2012.0,2,73.0,Pregrado
16,2008.0,1,58.0,Pregrado
16,2007.0,2,45.0,Pregrado
16,2007.0,1,41.0,Pregrado
16,2009.0,2,55.0,Pregrado
16,2009.0,1,53.0,Pregrado
16,2011.0,1,54.0,Pregrado
16,2010.0,1,62.0,Pregrado
16,2011.0,2,58.0,Pregrado
16,2012.0,1,66.0,Pregrado
16,2008.0,2,56.0,Pregrado
16,2010.0,2,64.0,Pregrado
17,2007.0,2,85.0,Pregrado
17,2009.0,1,87.0,Pregrado
17,2013.0,1,105.0,Pregrado
17,2013.0,2,71.0,Pregrado
17,2010.0,2,114.0,Pregrado
17,2012.0,2,100.0,Pregrado
17,2009.0,2,87.0,Pregrado
17,2008.0,1,82.0,Pregrado
17,2007.0,1,85.0,Pregrado
17,2011.0,1,100.0,Pregrado
17,2010.0,1,109.0,Pregrado
17,2011.0,2,73.0,Pregrado
17,2012.0,1,100.0,Pregrado
17,2008.0,2,85.0,Pregrado
18,2009.0,2,69.0,Pregrado
18,2012.0,2,111.0,Pregrado
18,2011.0,2,104.0,Pregrado
18,2013.0,2,113.0,Pregrado
18,2008.0,1,64.0,Pregrado
18,2007.0,2,57.0,Pregrado
18,2013.0,1,125.0,Pregrado
18,2009.0,1,66.0,Pregrado
18,2010.0,1,106.0,Pregrado
18,2010.0,2,104.0,Pregrado
18,2011.0,1,107.0,Pregrado
18,2012.0,1,107.0,Pregrado
18,2008.0,2,65.0,Pregrado
18,2007.0,1,56.0,Pregrado
19,2010.0,1,101.0,Pregrado
19,2008.0,2,63.0,Pregrado
19,2012.0,2,77.0,Pregrado
19,2010.0,2,98.0,Pregrado
19,2013.0,2,72.0,Pregrado
19,2011.0,1,102.0,Pregrado
19,2013.0,1,83.0,Pregrado
19,2007.0,2,55.0,Pregrado
19,2011.0,2,75.0,Pregrado
19,2008.0,1,61.0,Pregrado
19,2009.0,2,68.0,Pregrado
19,2009.0,1,65.0,Pregrado
19,2007.0,1,58.0,Pregrado
19,2012.0,1,78.0,Pregrado
20,2012.0,1,47.0,Pregrado
20,2011.0,2,50.0,Pregrado
20,2009.0,2,46.0,Pregrado
20,2009.0,1,40.0,Pregrado
20,2010.0,2,49.0,Pregrado
20,2008.0,2,40.0,Pregrado
20,2007.0,2,47.0,Pregrado
20,2007.0,1,34.0,Pregrado
20,2010.0,1,48.0,Pregrado
20,2013.0,1,47.0,Pregrado
20,2011.0,1,58.0,Pregrado
20,2013.0,2,39.0,Pregrado
20,2012.0,2,45.0,Pregrado
20,2008.0,1,42.0,Pregrado
21,2008.0,1,30.0,Pregrado
21,2007.0,2,28.0,Pregrado
21,2008.0,2,28.0,Pregrado
21,2013.0,1,58.0,Pregrado
21,2011.0,1,32.0,Pregrado
21,2007.0,1,30.0,Pregrado
21,2012.0,1,32.0,Pregrado
21,2010.0,1,29.0,Pregrado
21,2011.0,2,30.0,Pregrado
21,2009.0,2,22.0,Pregrado
21,2010.0,2,29.0,Pregrado
21,2009.0,1,29.0,Pregrado
22,2013.0,1,42.0,Pregrado
22,2009.0,1,45.0,Pregrado
22,2010.0,2,60.0,Pregrado
22,2012.0,1,53.0,Pregrado
22,2008.0,1,45.0,Pregrado
22,2007.0,1,41.0,Pregrado
22,2013.0,2,36.0,Pregrado
22,2010.0,1,47.0,Pregrado
23,2007.0,1,88.0,Pregrado
23,2012.0,2,95.0,Pregrado
23,2009.0,2,46.0,Pregrado
23,2012.0,1,99.0,Pregrado
23,2008.0,1,103.0,Pregrado
23,2010.0,1,90.0,Pregrado
23,2013.0,2,88.0,Pregrado
23,2007.0,2,101.0,Pregrado
23,2011.0,1,111.0,Pregrado
23,2008.0,2,106.0,Pregrado
23,2009.0,1,94.0,Pregrado
23,2011.0,2,94.0,Pregrado
23,2013.0,1,101.0,Pregrado
23,2010.0,2,100.0,Pregrado
24,2008.0,2,67.0,Pregrado
24,2008.0,1,89.0,Pregrado
24,2013.0,2,64.0,Pregrado
24,2010.0,2,100.0,Pregrado
24,2012.0,2,107.0,Pregrado
24,2011.0,2,99.0,Pregrado
24,2011.0,1,106.0,Pregrado
24,2007.0,1,76.0,Pregrado
24,2013.0,1,109.0,Pregrado
24,2010.0,1,98.0,Pregrado
24,2012.0,1,110.0,Pregrado
24,2009.0,2,70.0,Pregrado
24,2009.0,1,84.0,Pregrado
24,2007.0,2,81.0,Pregrado
25,2010.0,2,148.0,Pregrado
25,2011.0,1,136.0,Pregrado
25,2008.0,2,155.0,Pregrado
25,2013.0,1,139.0,Pregrado
25,2009.0,1,142.0,Pregrado
25,2008.0,1,141.0,Pregrado
25,2007.0,2,129.0,Pregrado
25,2013.0,2,112.0,Pregrado
25,2012.0,1,139.0,Pregrado
25,2012.0,2,138.0,Pregrado
25,2011.0,2,128.0,Pregrado
25,2007.0,1,127.0,Pregrado
25,2010.0,1,146.0,Pregrado
25,2009.0,2,139.0,Pregrado
26,2008.0,1,80.0,Pregrado
26,2007.0,2,89.0,Pregrado
26,2010.0,2,100.0,Pregrado
26,2008.0,2,91.0,Pregrado
26,2011.0,2,99.0,Pregrado
26,2007.0,1,82.0,Pregrado
26,2009.0,2,88.0,Pregrado
26,2012.0,2,110.0,Pregrado
