codigo_snies_del_programa,año,semestre,total,nivel_academico
3,2009.0,2,27.0,Pregrado
3,2006.0,1,67.0,Pregrado
3,2007.0,1,30.0,Pregrado
3,2013.0,1,34.0,Pregrado
3,2013.0,2,24.0,Pregrado
3,2012.0,2,27.0,Pregrado
3,2005.0,2,94.0,Pregrado
3,2008.0,2,37.0,Pregrado
3,2008.0,1,18.0,Pregrado
3,2011.0,2,42.0,Pregrado
3,2012.0,1,30.0,Pregrado
3,2011.0,1,51.0,Pregrado
3,2006.0,2,35.0,Pregrado
3,2004.0,2,25.0,Pregrado
3,2007.0,2,20.0,Pregrado
3,2005.0,1,16.0,Pregrado
3,2003.0,1,13.0,Pregrado
3,2010.0,1,24.0,Pregrado
3,2009.0,1,49.0,Pregrado
3,2010.0,2,19.0,Pregrado
3,2003.0,2,18.0,Pregrado
4,2006.0,1,37.0,Pregrado
4,2008.0,2,18.0,Pregrado
4,2010.0,1,32.0,Pregrado
4,2003.0,2,21.0,Pregrado
4,2011.0,1,20.0,Pregrado
4,2009.0,2,14.0,Pregrado
4,2002.0,2,27.0,Pregrado
4,2011.0,2,9.0,Pregrado
4,2004.0,2,28.0,Pregrado
4,2009.0,1,19.0,Pregrado
4,2003.0,1,16.0,Pregrado
4,2008.0,1,16.0,Pregrado
4,2006.0,2,10.0,Pregrado
4,2012.0,1,31.0,Pregrado
4,2012.0,2,27.0,Pregrado
4,2013.0,2,24.0,Pregrado
4,2005.0,1,16.0,Pregrado
4,2007.0,2,18.0,Pregrado
4,2013.0,1,21.0,Pregrado
4,2007.0,1,2.0,Pregrado
4,2004.0,1,23.0,Pregrado
4,2001.0,1,1.0,Pregrado
4,2010.0,2,22.0,Pregrado
4,2002.0,1,2.0,Pregrado
4,2005.0,2,14.0,Pregrado
5,2005.0,2,50.0,Pregrado
5,2011.0,1,31.0,Pregrado
5,2003.0,2,26.0,Pregrado
5,2011.0,2,28.0,Pregrado
5,2013.0,2,25.0,Pregrado
5,2013.0,1,21.0,Pregrado
5,2008.0,2,44.0,Pregrado
5,2002.0,2,57.0,Pregrado
5,2007.0,2,44.0,Pregrado
5,2010.0,2,33.0,Pregrado
5,2007.0,1,4.0,Pregrado
5,2004.0,1,37.0,Pregrado
5,2003.0,1,24.0,Pregrado
5,2008.0,1,46.0,Pregrado
5,2012.0,1,19.0,Pregrado
5,2002.0,1,18.0,Pregrado
5,2012.0,2,36.0,Pregrado
5,2006.0,2,35.0,Pregrado
5,2006.0,1,45.0,Pregrado
5,2009.0,2,42.0,Pregrado
5,2005.0,1,38.0,Pregrado
5,2010.0,1,47.0,Pregrado
5,2001.0,1,6.0,Pregrado
5,2009.0,1,39.0,Pregrado
5,2004.0,2,53.0,Pregrado
6,2008.0,1,13.0,Pregrado
