codigo_snies_del_programa,año,semestre,total,nivel_academico
1,2000.0,1,347.0,Pregrado
1,2011.0,1,404.0,Pregrado
1,2003.0,1,430.0,Pregrado
1,2010.0,2,301.0,Pregrado
1,2006.0,2,251.0,Pregrado
1,2002.0,1,448.0,Pregrado
1,2007.0,1,607.0,Pregrado
1,2012.0,2,306.0,Pregrado
1,2010.0,1,509.0,Pregrado
1,2005.0,2,435.0,Pregrado
1,2011.0,2,289.0,Pregrado
1,2001.0,2,362.0,Pregrado
1,2003.0,2,318.0,Pregrado
1,2013.0,1,412.0,Pregrado
1,2009.0,2,349.0,Pregrado
1,2007.0,2,323.0,Pregrado
1,2001.0,1,435.0,Pregrado
1,2005.0,1,552.0,Pregrado
1,2012.0,1,415.0,Pregrado
1,2009.0,1,351.0,Pregrado
1,2000.0,2,282.0,Pregrado
1,2004.0,2,382.0,Pregrado
1,2004.0,1,559.0,Pregrado
1,2008.0,1,422.0,Pregrado
1,2006.0,1,632.0,Pregrado
1,2002.0,2,300.0,Pregrado
1,2008.0,2,290.0,Pregrado
2,2010.0,1,1167.0,Pregrado
2,2001.0,1,1134.0,Pregrado
2,2007.0,2,734.0,Pregrado
2,2002.0,2,807.0,Pregrado
2,2008.0,2,678.0,Pregrado
2,2011.0,2,829.0,Pregrado
2,2005.0,2,896.0,Pregrado
2,2005.0,1,1234.0,Pregrado
2,2006.0,1,1251.0,Pregrado
2,2012.0,1,1170.0,Pregrado
2,2001.0,2,905.0,Pregrado
2,2003.0,2,748.0,Pregrado
2,2000.0,1,926.0,Pregrado
2,2008.0,1,988.0,Pregrado
2,2006.0,2,515.0,Pregrado
2,2011.0,1,1042.0,Pregrado
2,2010.0,2,796.0,Pregrado
2,2009.0,2,729.0,Pregrado
2,2013.0,1,1147.0,Pregrado
2,2003.0,1,1297.0,Pregrado
2,2004.0,1,1389.0,Pregrado
2,2002.0,1,1237.0,Pregrado
2,2009.0,1,900.0,Pregrado
2,2004.0,2,861.0,Pregrado
2,2007.0,1,1237.0,Pregrado
2,2000.0,2,633.0,Pregrado
3,2003.0,2,268.0,Pregrado
3,2001.0,1,429.0,Pregrado
3,2003.0,1,460.0,Pregrado
3,2006.0,1,521.0,Pregrado
3,2011.0,1,472.0,Pregrado
3,2004.0,2,298.0,Pregrado
3,2009.0,2,340.0,Pregrado
3,2004.0,1,480.0,Pregrado
3,2013.0,1,440.0,Pregrado
3,2001.0,2,338.0,Pregrado
3,2000.0,1,337.0,Pregrado
3,2007.0,2,317.0,Pregrado
3,2006.0,2,234.0,Pregrado
3,2010.0,2,262.0,Pregrado
3,2008.0,1,498.0,Pregrado
3,2008.0,2,330.0,Pregrado
3,2010.0,1,422.0,Pregrado
3,2009.0,1,446.0,Pregrado
3,2012.0,1,469.0,Pregrado
3,2007.0,1,498.0,Pregrado
3,2005.0,1,436.0,Pregrado
3,2011.0,2,348.0,Pregrado
3,2000.0,2,267.0,Pregrado
3,2002.0,1,454.0,Pregrado
3,2002.0,2,279.0,Pregrado
3,2005.0,2,310.0,Pregrado
3,2012.0,2,629.0,Pregrado
4,2002.0,1,1754.0,Pregrado
4,2003.0,1,1651.0,Pregrado
4,2007.0,1,2131.0,Pregrado
4,2009.0,2,1009.0,Pregrado
4,2004.0,1,1823.0,Pregrado
4,2008.0,1,1871.0,Pregrado
4,2013.0,1,1511.0,Pregrado
4,2003.0,2,930.0,Pregrado
4,2010.0,1,1880.0,Pregrado
4,2005.0,2,1097.0,Pregrado
4,2001.0,2,1153.0,Pregrado
4,2011.0,2,1024.0,Pregrado
4,2010.0,2,1023.0,Pregrado
4,2012.0,2,750.0,Pregrado
4,2006.0,2,757.0,Pregrado
4,2000.0,2,919.0,Pregrado
4,2009.0,1,1722.0,Pregrado
4,2002.0,2,975.0,Pregrado
4,2011.0,1,1851.0,Pregrado
4,2012.0,1,1576.0,Pregrado
4,2007.0,2,1214.0,Pregrado
4,2006.0,1,1858.0,Pregrado
4,2005.0,1,1805.0,Pregrado
4,2000.0,1,1498.0,Pregrado
4,2001.0,1,1520.0,Pregrado
4,2008.0,2,1132.0,Pregrado
4,2004.0,2,1178.0,Pregrado
5,2006.0,1,1203.0,Pregrado
5,2001.0,2,607.0,Pregrado
5,2005.0,1,1105.0,Pregrado
5,2000.0,2,526.0,Pregrado
5,2010.0,2,783.0,Pregrado
5,2011.0,2,804.0,Pregrado
5,2001.0,1,797.0,Pregrado
5,2007.0,2,737.0,Pregrado
5,2002.0,2,564.0,Pregrado
5,2005.0,2,826.0,Pregrado
5,2012.0,1,1089.0,Pregrado
5,2010.0,1,1192.0,Pregrado
5,2009.0,1,985.0,Pregrado
5,2008.0,1,1036.0,Pregrado
5,2012.0,2,653.0,Pregrado
5,2008.0,2,754.0,Pregrado
5,2007.0,1,1207.0,Pregrado
5,2000.0,1,713.0,Pregrado
5,2006.0,2,499.0,Pregrado
5,2011.0,1,1092.0,Pregrado
5,2002.0,1,830.0,Pregrado
5,2009.0,2,781.0,Pregrado
5,2003.0,1,944.0,Pregrado
5,2004.0,1,1018.0,Pregrado
5,2003.0,2,530.0,Pregrado
5,2004.0,2,681.0,Pregrado
5,2013.0,1,1025.0,Pregrado
6,2001.0,1,707.0,Pregrado
6,2003.0,1,715.0,Pregrado
6,2012.0,2,614.0,Pregrado
6,2006.0,2,379.0,Pregrado
6,2008.0,1,768.0,Pregrado
6,2003.0,2,484.0,Pregrado
6,2004.0,2,596.0,Pregrado
6,2005.0,2,589.0,Pregrado
6,2010.0,1,902.0,Pregrado
6,2009.0,2,494.0,Pregrado
6,2012.0,1,923.0,Pregrado
6,2002.0,1,709.0,Pregrado
6,2002.0,2,454.0,Pregrado
6,2008.0,2,539.0,Pregrado
6,2005.0,1,808.0,Pregrado
6,2000.0,2,461.0,Pregrado
6,2004.0,1,805.0,Pregrado
6,2011.0,1,952.0,Pregrado
6,2001.0,2,584.0,Pregrado
6,2007.0,2,556.0,Pregrado
6,2011.0,2,646.0,Pregrado
6,2000.0,1,674.0,Pregrado
6,2009.0,1,703.0,Pregrado
6,2007.0,1,872.0,Pregrado
6,2010.0,2,595.0,Pregrado
6,2013.0,1,1039.0,Pregrado
6,2006.0,1,914.0,Pregrado
7,2007.0,2,1310.0,Pregrado
7,2008.0,1,1555.0,Pregrado
7,2012.0,2,1696.0,Pregrado
7,2007.0,1,1831.0,Pregrado
7,2010.0,1,1884.0,Pregrado
7,2000.0,2,1023.0,Pregrado
7,2002.0,1,1779.0,Pregrado
7,2003.0,1,1928.0,Pregrado
7,2009.0,2,1238.0,Pregrado
7,2012.0,1,1870.0,Pregrado
7,2003.0,2,1306.0,Pregrado
7,2004.0,1,1897.0,Pregrado
7,2001.0,2,1495.0,Pregrado
7,2013.0,1,1621.0,Pregrado
7,2011.0,2,1461.0,Pregrado
7,2010.0,2,1360.0,Pregrado
7,2006.0,1,1875.0,Pregrado
7,2009.0,1,1498.0,Pregrado
7,2001.0,1,1674.0,Pregrado
7,2011.0,1,2008.0,Pregrado
7,2006.0,2,927.0,Pregrado
7,2004.0,2,1506.0,Pregrado
7,2002.0,2,1496.0,Pregrado
7,2000.0,1,1576.0,Pregrado
7,2005.0,2,1381.0,Pregrado
7,2008.0,2,1327.0,Pregrado
7,2005.0,1,1654.0,Pregrado
8,2004.0,2,862.0,Pregrado
8,2012.0,2,801.0,Pregrado
8,2007.0,2,813.0,Pregrado
8,2001.0,2,721.0,Pregrado
8,2009.0,2,749.0,Pregrado
8,2000.0,2,573.0,Pregrado
8,2003.0,2,584.0,Pregrado
8,2005.0,2,840.0,Pregrado
8,2011.0,2,932.0,Pregrado
8,2008.0,2,766.0,Pregrado
8,2006.0,2,620.0,Pregrado
8,2010.0,2,635.0,Pregrado
8,2002.0,2,666.0,Pregrado
9,2006.0,2,3697.0,Pregrado
9,2001.0,1,7077.0,Pregrado
9,2005.0,2,5268.0,Pregrado
9,2008.0,1,7426.0,Pregrado
9,2012.0,1,9537.0,Pregrado
9,2007.0,2,4776.0,Pregrado
9,2006.0,1,8941.0,Pregrado
9,2005.0,1,8358.0,Pregrado
9,2010.0,2,5291.0,Pregrado
9,2011.0,2,6015.0,Pregrado
9,2000.0,1,6324.0,Pregrado
9,2003.0,1,9094.0,Pregrado
9,2002.0,2,4970.0,Pregrado
9,2009.0,2,4663.0,Pregrado
9,2001.0,2,5184.0,Pregrado
9,2000.0,2,3672.0,Pregrado
9,2010.0,1,8593.0,Pregrado
9,2013.0,1,68.0,Pregrado
9,2004.0,1,10006.0,Pregrado
9,2008.0,2,4701.0,Pregrado
9,2003.0,2,5470.0,Pregrado
9,2009.0,1,7082.0,Pregrado
9,2007.0,1,8684.0,Pregrado
9,2002.0,1,8341.0,Pregrado
9,2013.0,1,8460.0,Pregrado
9,2004.0,2,5624.0,Pregrado
9,2011.0,1,9726.0,Pregrado
10,2006.0,1,584.0,Pregrado
10,2004.0,2,398.0,Pregrado
10,2000.0,1,314.0,Pregrado
10,2002.0,1,452.0,Pregrado
10,2005.0,2,417.0,Pregrado
10,2007.0,2,480.0,Pregrado
10,2006.0,2,339.0,Pregrado
10,2008.0,2,449.0,Pregrado
10,2011.0,2,522.0,Pregrado
10,2003.0,1,536.0,Pregrado
10,2009.0,2,455.0,Pregrado
10,2013.0,1,704.0,Pregrado
10,2003.0,2,316.0,Pregrado
10,2004.0,1,499.0,Pregrado
10,2010.0,2,613.0,Pregrado
10,2001.0,2,332.0,Pregrado
10,2011.0,1,791.0,Pregrado
10,2010.0,1,710.0,Pregrado
10,2001.0,1,600.0,Pregrado
10,2009.0,1,615.0,Pregrado
10,2012.0,1,746.0,Pregrado
10,2000.0,2,212.0,Pregrado
10,2008.0,1,559.0,Pregrado
10,2005.0,1,533.0,Pregrado
10,2007.0,1,638.0,Pregrado
10,2002.0,2,352.0,Pregrado
10,2012.0,2,671.0,Pregrado
11,2009.0,2,959.0,Pregrado
11,2011.0,1,1404.0,Pregrado
11,2005.0,2,805.0,Pregrado
11,2001.0,1,869.0,Pregrado
11,2007.0,1,1540.0,Pregrado
11,2009.0,1,1254.0,Pregrado
11,2000.0,1,865.0,Pregrado
11,2007.0,2,945.0,Pregrado
11,2011.0,2,933.0,Pregrado
11,2006.0,2,634.0,Pregrado
11,2012.0,1,1303.0,Pregrado
11,2003.0,1,1103.0,Pregrado
11,2005.0,1,1158.0,Pregrado
11,2008.0,2,973.0,Pregrado
11,2004.0,2,814.0,Pregrado
11,2012.0,2,909.0,Pregrado
11,2010.0,2,862.0,Pregrado
11,2002.0,2,661.0,Pregrado
11,2002.0,1,923.0,Pregrado
11,2008.0,1,1371.0,Pregrado
11,2003.0,2,721.0,Pregrado
11,2000.0,2,458.0,Pregrado
11,2004.0,1,1328.0,Pregrado
11,2013.0,1,1126.0,Pregrado
11,2001.0,2,697.0,Pregrado
11,2006.0,1,1316.0,Pregrado
11,2010.0,1,1488.0,Pregrado
12,2009.0,1,378.0,Pregrado
12,2008.0,1,424.0,Pregrado
12,2000.0,1,455.0,Pregrado
12,2003.0,1,532.0,Pregrado
12,2007.0,1,551.0,Pregrado
12,2013.0,1,412.0,Pregrado
12,2002.0,1,503.0,Pregrado
12,2005.0,1,418.0,Pregrado
12,2004.0,1,506.0,Pregrado
12,2011.0,1,412.0,Pregrado
12,2012.0,1,408.0,Pregrado
12,2001.0,1,477.0,Pregrado
12,2010.0,1,351.0,Pregrado
12,2006.0,1,495.0,Pregrado
13,2010.0,2,362.0,Pregrado
13,2002.0,2,370.0,Pregrado
13,2013.0,1,535.0,Pregrado
13,2012.0,2,428.0,Pregrado
13,2004.0,1,473.0,Pregrado
13,2003.0,2,390.0,Pregrado
13,2012.0,1,524.0,Pregrado
13,2009.0,2,293.0,Pregrado
13,2002.0,1,464.0,Pregrado
13,2001.0,2,430.0,Pregrado
13,2010.0,1,404.0,Pregrado
13,2004.0,2,387.0,Pregrado
13,2005.0,1,458.0,Pregrado
13,2000.0,2,403.0,Pregrado
13,2006.0,1,411.0,Pregrado
13,2001.0,1,516.0,Pregrado
13,2007.0,1,414.0,Pregrado
13,2000.0,1,474.0,Pregrado
13,2009.0,1,320.0,Pregrado
13,2003.0,1,473.0,Pregrado
13,2005.0,2,342.0,Pregrado
13,2008.0,1,343.0,Pregrado
13,2011.0,1,357.0,Pregrado
13,2006.0,2,254.0,Pregrado
13,2011.0,2,388.0,Pregrado
13,2008.0,2,278.0,Pregrado
13,2007.0,2,375.0,Pregrado
14,2009.0,1,2104.0,Pregrado
14,2005.0,1,2076.0,Pregrado
14,2002.0,2,1460.0,Pregrado
14,2008.0,2,1309.0,Pregrado
14,2000.0,2,1308.0,Pregrado
14,2007.0,2,1362.0,Pregrado
14,2001.0,1,2102.0,Pregrado
14,2006.0,1,2368.0,Pregrado
14,2011.0,1,2965.0,Pregrado
14,2003.0,2,1480.0,Pregrado
14,2003.0,1,2418.0,Pregrado
14,2012.0,1,3137.0,Pregrado
14,2009.0,2,1450.0,Pregrado
14,2000.0,1,1917.0,Pregrado
14,2004.0,2,1552.0,Pregrado
14,2013.0,1,3323.0,Pregrado
14,2001.0,2,1770.0,Pregrado
14,2011.0,2,1899.0,Pregrado
14,2006.0,2,829.0,Pregrado
14,2005.0,2,1391.0,Pregrado
14,2010.0,1,2772.0,Pregrado
14,2008.0,1,2015.0,Pregrado
14,2012.0,2,1897.0,Pregrado
14,2007.0,1,2211.0,Pregrado
14,2004.0,1,2623.0,Pregrado
14,2010.0,2,1620.0,Pregrado
14,2002.0,1,2421.0,Pregrado
15,2005.0,1,607.0,Pregrado
15,2000.0,1,532.0,Pregrado
15,2004.0,1,662.0,Pregrado
15,2005.0,2,513.0,Pregrado
15,2010.0,2,584.0,Pregrado
15,2001.0,1,452.0,Pregrado
15,2007.0,2,483.0,Pregrado
15,2006.0,2,298.0,Pregrado
15,2010.0,1,718.0,Pregrado
15,2002.0,1,653.0,Pregrado
15,2003.0,2,435.0,Pregrado
15,2009.0,2,528.0,Pregrado
15,2008.0,1,561.0,Pregrado
15,2011.0,1,758.0,Pregrado
15,2001.0,2,556.0,Pregrado
15,2002.0,2,438.0,Pregrado
15,2006.0,1,642.0,Pregrado
15,2000.0,2,415.0,Pregrado
15,2007.0,1,643.0,Pregrado
15,2003.0,1,632.0,Pregrado
15,2009.0,1,652.0,Pregrado
15,2013.0,1,809.0,Pregrado
15,2012.0,2,540.0,Pregrado
15,2008.0,2,576.0,Pregrado
15,2004.0,2,536.0,Pregrado
15,2012.0,1,777.0,Pregrado
15,2011.0,2,622.0,Pregrado
16,2012.0,2,362.0,Pregrado
16,2011.0,2,425.0,Pregrado
16,2000.0,1,279.0,Pregrado
16,2006.0,2,187.0,Pregrado
16,2007.0,2,366.0,Pregrado
16,2006.0,1,329.0,Pregrado
16,2005.0,2,265.0,Pregrado
16,2005.0,1,320.0,Pregrado
16,2000.0,2,228.0,Pregrado
16,2010.0,1,375.0,Pregrado
16,2008.0,1,387.0,Pregrado
16,2002.0,1,398.0,Pregrado
16,2002.0,2,275.0,Pregrado
16,2012.0,1,394.0,Pregrado
16,2004.0,2,258.0,Pregrado
16,2009.0,1,369.0,Pregrado
16,2007.0,1,336.0,Pregrado
16,2011.0,1,447.0,Pregrado
16,2009.0,2,401.0,Pregrado
16,2010.0,2,346.0,Pregrado
16,2001.0,1,434.0,Pregrado
16,2004.0,1,309.0,Pregrado
16,2003.0,1,349.0,Pregrado
16,2003.0,2,280.0,Pregrado
16,2013.0,1,447.0,Pregrado
16,2008.0,2,349.0,Pregrado
16,2001.0,2,286.0,Pregrado
17,2011.0,1,3079.0,Pregrado
17,2004.0,1,2758.0,Pregrado
17,2008.0,2,1473.0,Pregrado
17,2006.0,2,1097.0,Pregrado
17,2010.0,2,1595.0,Pregrado
17,2001.0,1,2462.0,Pregrado
17,2005.0,2,1735.0,Pregrado
17,2005.0,1,2587.0,Pregrado
17,2003.0,2,1339.0,Pregrado
17,2002.0,1,2566.0,Pregrado
17,2001.0,2,1794.0,Pregrado
17,2008.0,1,2572.0,Pregrado
17,2007.0,2,1592.0,Pregrado
17,2012.0,1,3105.0,Pregrado
17,2004.0,2,1766.0,Pregrado
17,2009.0,1,2403.0,Pregrado
17,2000.0,2,1233.0,Pregrado
17,2007.0,1,2867.0,Pregrado
17,2013.0,1,2976.0,Pregrado
17,2006.0,1,2888.0,Pregrado
17,2002.0,2,1356.0,Pregrado
17,2010.0,1,3013.0,Pregrado
17,2000.0,1,2085.0,Pregrado
17,2009.0,2,1448.0,Pregrado
17,2003.0,1,2521.0,Pregrado
17,2012.0,2,1487.0,Pregrado
17,2011.0,2,1740.0,Pregrado
18,2008.0,1,1178.0,Pregrado
18,2005.0,1,1090.0,Pregrado
18,2003.0,1,1066.0,Pregrado
18,2003.0,2,533.0,Pregrado
18,2010.0,1,1327.0,Pregrado
18,2012.0,2,667.0,Pregrado
18,2002.0,1,988.0,Pregrado
18,2012.0,1,1293.0,Pregrado
18,2004.0,2,641.0,Pregrado
18,2009.0,1,1158.0,Pregrado
18,2001.0,2,626.0,Pregrado
18,2007.0,1,1129.0,Pregrado
