codigo_snies_del_programa,año,semestre,total,nivel_academico
1,2000.0,1,94.0,Pregrado
1,2008.0,2,55.0,Pregrado
1,2010.0,1,71.0,Pregrado
1,2008.0,1,58.0,Pregrado
1,2010.0,2,70.0,Pregrado
1,2007.0,2,69.0,Pregrado
1,2011.0,1,74.0,Pregrado
1,2007.0,1,65.0,Pregrado
1,2011.0,2,91.0,Pregrado
1,2000.0,2,99.0,Pregrado
1,2006.0,2,65.0,Pregrado
1,2006.0,1,60.0,Pregrado
1,2009.0,1,66.0,Pregrado
1,2012.0,1,120.0,Pregrado
1,2012.0,2,107.0,Pregrado
1,2005.0,1,46.0,Pregrado
1,2004.0,2,59.0,Pregrado
1,2013.0,1,129.0,Pregrado
1,2004.0,1,59.0,Pregrado
1,2003.0,2,63.0,Pregrado
1,2013.0,2,73.0,Pregrado
1,2001.0,1,75.0,Pregrado
1,2003.0,1,60.0,Pregrado
1,2002.0,2,53.0,Pregrado
1,2002.0,1,49.0,Pregrado
1,2005.0,2,66.0,Pregrado
1,2009.0,2,70.0,Pregrado
1,2001.0,2,67.0,Pregrado
2,2001.0,1,48.0,Pregrado
2,2005.0,2,51.0,Pregrado
2,2009.0,1,50.0,Pregrado
2,2002.0,2,43.0,Pregrado
2,2007.0,1,49.0,Pregrado
2,2011.0,2,46.0,Pregrado
2,2006.0,1,48.0,Pregrado
2,2012.0,1,3.0,Pregrado
2,2005.0,1,48.0,Pregrado
2,2004.0,1,46.0,Pregrado
2,2000.0,2,53.0,Pregrado
2,2003.0,2,39.0,Pregrado
2,2003.0,1,46.0,Pregrado
2,2013.0,2,48.0,Pregrado
2,2010.0,2,48.0,Pregrado
2,2008.0,1,51.0,Pregrado
2,2006.0,2,52.0,Pregrado
2,2004.0,2,50.0,Pregrado
2,2012.0,2,51.0,Pregrado
2,2013.0,1,52.0,Pregrado
2,2008.0,2,51.0,Pregrado
2,2011.0,1,49.0,Pregrado
2,2001.0,2,39.0,Pregrado
2,2010.0,1,53.0,Pregrado
2,2007.0,2,46.0,Pregrado
2,2000.0,1,54.0,Pregrado
2,2009.0,2,44.0,Pregrado
2,2002.0,1,43.0,Pregrado
3,2008.0,2,50.0,Pregrado
3,2000.0,1,50.0,Pregrado
